modalidad,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tiempo_administracion,acceso
Autoinforme,196,ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,Eje I,Depresión y anhedonia,4 a 7 minutos.,abierto
Autoinforme,196,shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,Eje I,Depresión y anhedonia,3 a 5 minutos.,abierto
Autoinforme,196,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Eje I,Obsesiones y compulsiones,3 a 5 minutos.,abierto
Autoinforme,196,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Eje I,Obsesiones y compulsiones,8 a 12 minutos.,comercial
Autoinforme,196,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Eje I,Obsesiones y compulsiones,10 a 15 minutos.,abierto
Autoinforme,196,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Eje I,Somatización y ansiedad por la salud,3 a 5 minutos.,abierto
Autoinforme,196,wi-7_23,WI,Índice de Whiteley,Eje I,Somatización y ansiedad por la salud,3 a 5 minutos.,abierto
Autoinforme,196,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Eje I,Somatización y ansiedad por la salud,5 a 9 minutos.,abierto
Autoinforme,196,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Eje I,Somatización y ansiedad por la salud,12 a 15 minutos (90 ítems referidos a los últimos 7 días),comercial
Autoinforme,196,bis-11_26,BIS-11,Escala de Impulsividad de Barratt,Eje I,Impulsividad,5 a 8 minutos (autoadministrado),abierto
Autoinforme,196,upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,Eje I,Impulsividad,5 a 8 minutos (20 ítems),abierto
Autoinforme,196,dii_28,DII,Inventario de Impulsividad de Dickman,Eje I,Impulsividad,4 a 6 minutos.,abierto
Autoinforme,196,aq_29,AQ,Cuestionario de Agresión,Eje I,Agresividad e ira,8 a 12 minutos en autoadministración guiada o lectura asistida.,abierto
Autoinforme,196,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Eje I,Agresividad e ira,10 a 15 minutos (49 ítems),comercial
Autoinforme,196,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Eje I,Agresividad e ira,5 a 8 minutos.,abierto
Autoinforme,196,srp-iv_33,SRP-IV,Escala de Autoinforme de Psicopatía - Versión IV,Eje III,Conducta antisocial,15 a 20 minutos en administración individual o colectiva.,comercial
Autoinforme,196,cbcl_35,CBCL,Inventario de Comportamiento Infantil (Subescalas Externalizantes),Eje I,Conducta disruptiva,15 a 20 minutos (autoadministrado por los progenitores),comercial
Autoinforme,196,sdq_36,SDQ,Cuestionario de Capacidades y Dificultades,Eje I,Conducta disruptiva,5 a 8 minutos.,abierto
Autoinforme,196,dbd_37,DBD,Escala de Trastornos de Comportamiento Perturbador,Eje I,Conducta disruptiva,10 a 15 minutos por informante.,abierto
Autoinforme,196,iat_41,IAT,Test de Adicción a Internet,Eje I,Adicciones conductuales,5 a 8 minutos.,abierto
Autoinforme,196,pdi-21_43,PDI-21,Inventario de Delirios de Peters,Eje I,Ideación delirante,8 a 15 minutos.,abierto
Autoinforme,196,cape-42_44,CAPE-42,Evaluación Comunitaria de Experiencias Psíquicas,Eje I,Experiencias perceptivas inusuales,10 a 15 minutos en autoaplicación guiada.,abierto
Autoinforme,196,bss_47,BSS,Escala de Ideación Suicida de Beck,Eje I,Ideación y Conducta suicida,5 a 10 minutos (mediante entrevista clínica semiestructurada o autoinforme supervisado),comercial
Autoinforme,196,isas_48,ISAS,Inventario de Declaraciones sobre Autolesiones,Eje I,Autolesiones no suicidas,10 a 15 minutos.,abierto
Autoinforme,196,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Eje I,Riesgo de violencia,"1.5 a 3 horas (revisión documental exhaustiva, entrevista clínica y contraste con informantes)",comercial
Autoinforme,196,jvq_50,JVQ,Cuestionario de Victimización Juvenil,Eje I,Vulnerabilidad y victimización,15 a 25 minutos.,abierto
Autoinforme,196,rrs_51,RRS,Escala de Respuestas Rumiativas,Eje II,Rumiación,3 a 5 minutos en autoadministración; 6 minutos asistido.,abierto
Autoinforme,196,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Eje II,Preocupación crónica,3 a 5 minutos en autoadministración; 6 minutos asistido.,abierto
Autoinforme,196,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Eje II,Intolerancia a la incertidumbre,2 a 4 minutos en autoadministración; 5 minutos asistido.,abierto
Autoinforme,196,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Eje II,Rigidez y Flexibilidad cognitiva,1 a 3 minutos en autoadministración; 3 a 5 minutos asistido.,abierto
Autoinforme,196,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Eje II,Rigidez y Flexibilidad cognitiva,4 a 6 minutos en autoadministración.,abierto
Autoinforme,196,cfq_56,CFQ,Cuestionario de Fusión Cognitiva,Eje II,Fusión cognitiva,2 a 3 minutos en autoadministración.,abierto
Autoinforme,196,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Eje II,Metacogniciones disfuncionales,5 a 8 minutos en autoadministración; 10 minutos asistido.,abierto
Autoinforme,196,ysq-s3_58,YSQ-S3,Cuestionario de Esquemas de Young,Eje II,Esquemas maladaptativos,15 a 20 minutos en autoadministración.,abierto
Autoinforme,196,ders_59,DERS,Escala de Dificultades en la Regulación Emocional,Eje II,Regulación y Desregulación emocional,5 a 8 minutos en autoadministración; 10 minutos asistido.,abierto
Autoinforme,196,cerq_60,CERQ,Cuestionario de Regulación Cognitiva de las Emociones,Eje II,Regulación y Desregulación emocional,6 a 10 minutos en autoadministración; 12 minutos asistido.,abierto
Autoinforme,196,tas-20_62,TAS-20,Escala de Alexitimia de Toronto,Eje II,Claridad emocional y Alexitimia,3 a 5 minutos en autoadministración; 6 minutos asistido.,abierto
Autoinforme,196,meaq_63,MEAQ,Cuestionario Multidimensional de Evitación Experiencial,Eje II,Evitación experiencial,12 a 15 minutos en autoadministración.,abierto
Autoinforme,196,bads_64,BADS,Escala de Activación Conductual para la Depresión,Eje II,Activación y Evitación conductual,5 a 8 minutos en autoadministración; 10 minutos asistido.,abierto
Autoinforme,196,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Eje II,Activación y Evitación conductual,1 a 3 minutos en autoadministración; 3 a 4 minutos asistido.,abierto
Autoinforme,196,brief_cope_66,Brief COPE,Inventario Breve de Afrontamiento,Eje II,Exposición y afrontamiento,4 a 7 minutos en autoadministración; 8 minutos asistido.,abierto
Autoinforme,196,bis_68,BIS/BAS,Escalas del Sistema de Inhibición y Aproximación Conductual,Eje II,Búsqueda de recompensa,4 a 6 minutos en autoadministración.,abierto
Autoinforme,196,ecr-r_69,ECR-R,Experiencias en Relaciones Cercanas - Revisado,Eje II,Apego,6 a 10 minutos en autoadministración; 12 minutos asistido.,abierto
Autoinforme,196,idi_70,IDI,Inventario de Dependencia Interpersonal,Eje II,Dependencia interpersonal,8 a 12 minutos en autoadministración.,abierto
Autoinforme,196,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Eje II,Sensibilidad al rechazo,8 a 12 minutos en autoadministración.,abierto
Autoinforme,196,iip-32_72,IIP-32,Inventario de Problemas Interpersonales (Versión Breve),Eje II,Comunicación interpersonal y Asertividad,6 a 8 minutos en autoadministración.,abierto
Autoinforme,196,ras_73,RAS,Escala de Asertividad de Rathus,Eje II,Comunicación interpersonal y Asertividad,6 a 10 minutos en autoadministración.,abierto
Autoinforme,196,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Eje II,Soledad y aislamiento social,3 a 5 minutos en autoadministración; 6 minutos asistido.,abierto
Autoinforme,196,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Eje II,Soledad y aislamiento social,3 a 5 minutos (forma completa); 2 minutos (forma breve DJGLS-6).,abierto
Autoinforme,196,neo-pi-r_76,NEO-PI-R,Inventario de Personalidad NEO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",35 a 50 minutos de respuesta pausada y supervisada.,comercial
Autoinforme,196,bfi-2_77,BFI-2,Inventario de los Cinco Grandes 2,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",8 a 12 minutos en autoadministración.,abierto
Autoinforme,196,hexaco-pi-r_78,HEXACO-PI-R,Inventario de Personalidad HEXACO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",8 a 12 minutos en autoadministración.,abierto
Autoinforme,196,tci-r_79,TCI-R,Inventario de Temperamento y Carácter Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",35 a 50 minutos de autoadministración supervisada.,academico
Autoinforme,196,pid-5_80,PID-5,Inventario de Personalidad para el DSM-5,Eje III,"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",25 a 40 minutos en autoadministración.,abierto
Autoinforme,196,sd3_81,SD3,La Tríada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),5 a 8 minutos en autoadministración.,abierto
Autoinforme,196,sd4_82,SD4,La Tétrada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),5 a 8 minutos en autoadministración.,abierto
Autoinforme,196,lts_83,LTS,Escala de la Tríada Luminosa,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,rses_84,RSES,Escala de Autoestima de Rosenberg,Eje III,Autoestima,2 a 4 minutos en autoadministración.,abierto
Autoinforme,196,af-5_85,AF-5,Autoconcepto Forma 5,Eje III,Autoconcepto,10 a 15 minutos en autoadministración.,comercial
Autoinforme,196,gse_86,GSE,Escala de Autoeficacia General,Eje III,Autoeficacia,2 a 4 minutos en autoadministración.,abierto
Autoinforme,196,sccs_87,SCCS,Escala de Claridad del Autoconcepto,Eje III,Claridad del self,3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,eom-eis-2_88,EOM-EIS-2,Medida Objetiva Extendida del Estatus de Identidad del Ego,Eje III,Identidad personal,15 a 20 minutos de autoadministración individual o grupal.,abierto
Autoinforme,196,pvq_89,PVQ,Cuestionario de Valores de Retrato,Eje III,Valores personales,6 a 10 minutos en autoadministración.,abierto
Autoinforme,196,mlq_90,MLQ,Cuestionario de Significado de la Vida,Eje III,Sentido de vida y Propósito vital,3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,imi_91,IMI,Inventario de Motivación Intrínseca,Eje III,Motivación y Orientación a metas,5 a 8 minutos en autoadministración.,abierto
Autoinforme,196,agq-r_92,AGQ-R,Cuestionario de Metas de Logro Revisado,Eje III,Motivación y Orientación a metas,3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,aceq_93,ACEQ,Cuestionario de Experiencias Adversas en la Infancia,Eje I,Trauma acumulado y Adversidad temprana,Aproximadamente 3 a 5 minutos (prueba de cribado ultrarrápida y no invasiva).,abierto
Autoinforme,196,ctq-sf_94,CTQ-SF,Cuestionario de Trauma Infantil - Versión Breve,Eje I,Trauma acumulado y Adversidad temprana,5 a 8 minutos (autoadministrado en entorno protegido y confidencial),comercial
Autoinforme,196,meim_95,MEIM,Multigroup Ethnic Identity Measure (Medida Multigrupo de Identidad Étnica),Eje III,Identidad étnica (Exploración y Compromiso/Pertenencia),3 a 5 minutos en autoadministración.,abierto
Autoinforme,196,via_96,VIA,Índice de Aculturación de Vancouver,Eje III,Identidad cultural y Aculturación,5 a 8 minutos de autoadministración sencilla.,abierto
Autoinforme,196,ismi_98,ISMI,Escala de Estigma Internalizado de la Enfermedad Mental,Eje III,Estigma y discriminación,8 a 12 minutos en autoadministración.,abierto
Autoinforme,196,eod_99,EOD,Escala de Experiencias de Discriminación,Eje III,Estigma y discriminación,5 a 8 minutos en autoadministración.,abierto
Autoinforme,196,whodas_2.0_100,WHODAS 2.0,Cuestionario para la Evaluación de Discapacidad de la OMS 2.0,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",15 a 20 minutos (versión 36 ítems) o 5 minutos (versión 12 ítems).,abierto
Autoinforme,196,chte_103,CHTE,Cuestionario de Hábitos y Técnicas de Estudio,Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",15 a 25 minutos de autoadministración individual o colectiva en aula.,academico
Autoinforme,196,basc-3_104,BASC-3,Sistema de Evaluación de la Conducta de Niños y Adolescentes (Subescalas de Adaptación),Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",15 a 25 minutos por cuestionario (aproximadamente 100 a 190 reactivos según forma).,comercial
Autoinforme,196,mbi_105,MBI,Inventario de Burnout de Maslach,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",10 a 15 minutos en autoadministración individual o cribados laborales colectivos.,comercial
Autoinforme,196,uwes_106,UWES,Escala de Engagement en el Trabajo de Utrecht,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",5 a 8 minutos (UWES-17) o 2 a 3 minutos (UWES-9).,abierto
Autoinforme,196,mos-sss_107,MOS-SSS,Cuestionario de Apoyo Social del Medical Outcomes Study,Eje IV,Apoyo social y Funcionamiento familiar,5 a 8 minutos de autoadministración sencilla.,abierto
Autoinforme,196,faces-iv_108,FACES-IV,Escala de Cohesión y Adaptabilidad Familiar,Eje IV,Apoyo social y Funcionamiento familiar,15 a 20 minutos de autoadministración individual por miembros de la familia.,abierto
Autoinforme,196,apgar_109,APGAR,APGAR Familiar,Eje IV,Apoyo social y Funcionamiento familiar,2 a 3 minutos en administración autoadministrada o heteroaplicada.,abierto
Autoinforme,196,swls_110,SWLS,Escala de Satisfacción con la Vida,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",1 a 2 minutos de rápida autoadministración.,abierto
Autoinforme,196,pwb_111,PWB,Escalas de Bienestar Psicológico,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",8 a 12 minutos de autoadministración guiada.,abierto
Autoinforme,196,fs_112,FS,Escala de Florecimiento,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",2 a 4 minutos en administración autoadministrada rápida.,abierto
Autoinforme,196,sf-36_113,SF-36,Cuestionario de Salud SF-36,Eje IV,Calidad de vida,8 a 12 minutos de cumplimentación autónoma o guiada.,abierto
Autoinforme,196,whoqol-bref_114,WHOQOL-BREF,Cuestionario de Calidad de Vida de la OMS - Versión Breve,Eje IV,Calidad de vida,8 a 12 minutos de cumplimentación autónoma.,abierto
Autoinforme,196,cd-risc_115,CD-RISC,Escala de Resiliencia de Connor-Davidson,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",3 a 5 minutos (CD-RISC-10) o 8 a 10 minutos (CD-RISC-25).,comercial
Autoinforme,196,lot-r_116,LOT-R,Test de Orientación Vital Revisado (Optimismo),Eje III,"Resiliencia, Afrontamiento y Fortalezas",2 a 3 minutos en autoadministración.,abierto
Autoinforme,196,via-is_118,VIA-IS,Inventario VIA de Fortalezas Personales,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",25 a 35 minutos (versión 120 ítems) o 10 a 15 minutos (versión 72 ítems).,abierto
Autoinforme,196,maia_133,MAIA,Evaluación Multidimensional de la Conciencia Interoceptiva,Eje II,Cognición Social e Interocepción,6 a 10 minutos en autoadministración; 12 minutos asistido.,abierto
Autoinforme,196,psqi_135,PSQI,Índice de Calidad de Sueño de Pittsburgh,Eje VI,Sueño y ritmos circadianos,5 a 10 minutos (autoinforme estructurado con preguntas abiertas y cerradas),abierto
Autoinforme,196,isi_136,ISI,Índice de Gravedad del Insomnio,Eje VI,Sueño y ritmos circadianos,3 a 5 minutos (autoadministrado),abierto
Autoinforme,196,ess_137,ESS,Escala de Somnolencia de Epworth,Eje VI,Sueño y ritmos circadianos,2 a 4 minutos (autoadministrada o heteroadministrada en consulta),abierto
Autoinforme,196,bpi_138,BPI,Inventario Breve de Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",5 a 8 minutos (autoadministrado o mediante entrevista clínica asistida),comercial
Autoinforme,196,pcs_139,PCS,Escala de Catastrofización del Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",3 a 5 minutos (autoadministrado),abierto
Autoinforme,196,fss_140,FSS,Escala de Gravedad de la Fatiga,Eje VI,"Dolor, fatiga y síntomas somáticos",2 a 4 minutos (autoadministrado),abierto
Autoinforme,196,ipaq_141,IPAQ,Cuestionario Internacional de Actividad Física,Eje VI,Conductas de salud,3 a 5 minutos (autoadministrado o mediante entrevista clínica),abierto
Autoinforme,196,mgl_o_mmas-4_142,MGL o MMAS-4,Cuestionario de Adherencia a la Medicación de Morisky-Green-Levine,Eje VI,Conductas de salud,1 a 2 minutos (administrado por médico o personal de enfermería / farmacéutico),abierto
Autoinforme,196,bipq_143,BIPQ,Cuestionario Breve de Percepción de Enfermedad (incluye IPQ-R como versión anidada),Eje VI,Enfermedad médica y afrontamiento,3 a 5 minutos (autoadministrado o en entrevista clínica asistida),abierto
Autoinforme,196,mac_144,MAC,Escala de Ajuste Mental al Cáncer,Eje VI,Enfermedad médica y afrontamiento,8 a 12 minutos (versión 40 ítems) o 5 a 7 minutos (Mini-MAC de 29 ítems),comercial
Autoinforme,196,hls-eu-q16_145,HLS-EU-Q16,Cuestionario Europeo de Alfabetización en Salud - Versión Corta,Eje VI,Alfabetización en salud y relación con el sistema,4 a 6 minutos (autoadministrado o mediante entrevista personal o telefónica),abierto
Autoinforme,196,sahlsa-50_146,SAHLSA-50,Evaluación Breve de Alfabetización en Salud para Adultos de Habla Hispana,Eje VI,Alfabetización en salud y relación con el sistema,3 a 6 minutos (heteroadministrado mediante prueba estructurada con tarjetas o láminas),abierto
Autoinforme,196,cfq_new1,CFQ-Fallos,Cognitive Failures Questionnaire (Cuestionario de Fallos Cognitivos),Eje V,Fallos cognitivos cotidianos,6 a 10 minutos de cumplimentación autónoma presencial o telemática.,abierto
Autoinforme,196,sisses_new1,SIS/SES-SF,Sexual Inhibition/Sexual Excitation Scales — Short Form,Eje VI,Salud sexual (propensión a inhibición/excitación),5 a 7 minutos de cumplimentación autónoma presencial o telemática.,abierto
Autoinforme,196,stopbang_new1,STOP-Bang,Cuestionario STOP-Bang,Eje VI,Riesgo de apnea del sueño,1 a 2 minutos (autoadministrado o administrado por personal sanitario),abierto
Autoinforme,196,csi_new1,CSI,Inventario de Sensibilización Central,Eje VI,Sensibilización central y carga de síntomas,5 a 8 minutos (autoadministrado),abierto
Autoinforme,196,ftnd_new1,FTND,Test de Fagerström de Dependencia de la Nicotina,Eje VI,Tabaco,2 a 3 minutos de rápida cumplimentación en cualquier ámbito asistencial.,abierto
Autoinforme,196,semcds_new1,SEMCD-S,Spanish Chronic Disease Self-Efficacy Scale,Eje VI,Autoeficacia/autocuidado en enfermedad crónica,2 a 4 minutos (autoadministrado o administrado en talleres de autocuidado),abierto
Autoinforme,196,eheals_new1,eHEALS,eHealth Literacy Scale,Eje VI,Alfabetización digital en salud,2 a 4 minutos (autoadministrado vía telemática o presencial),abierto
Autoinforme,196,cremp_new1,CREM-P,Cuestionario de Relaciones Médico-Paciente (adaptación española del PDRQ),Eje VI,Relación paciente-profesional,3 a 5 minutos de cumplimentación autónoma post-consulta médica.,abierto
Autoinforme,196,bsq_new1,BSQ,Body Shape Questionnaire (Cuestionario sobre la Forma Corporal),Eje I,Insatisfacción con la forma y figura corporal,8 a 12 minutos (autoadministrado),abierto
Autoinforme,196,mba_new1,MBA,Measure of Body Apperception (Medida de Percepción del Cuerpo),Eje I,Dependencia de la autoestima respecto a la apariencia/integridad corporal,3 a 5 minutos (10 reactivos estructurados),abierto
Autoinforme,196,ersq_new1,ERSQ,Emotion-Regulation Skills Questionnaire (Cuestionario de Habilidades de Regulación Emocional),Eje II,Habilidades específicas de regulación emocional (modelo ACE),4 a 6 minutos en autoadministración.,abierto
Autoinforme,196,ers_147,ERS,Escala para Evaluar el Riesgo Suicida,Eje I,"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",4 a 7 minutos (20 reactivos estructurados),academico
Autoinforme,196,ip_148,IP,Inventario de Padua (Padua Inventory),Eje I,"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",15 a 20 minutos.,academico
Autoinforme,196,bsl23_149,BSL-23,Borderline Symptom List-23,Eje I,"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",4 a 7 minutos (autoadministrado),academico
Autoinforme,196,cubi18_150,CUBI-18,"Cuestionario de Urgencia, Busqueda de Sensaciones e Impulsividad-18",Eje I,"Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",4 a 7 minutos (18 ítems autoadministrados),academico
Autoinforme,196,egsr_151,EGS-R,Escala de Gravedad de Sintomas del TEPT-Revisada,Eje I,"Gravedad de sintomas de TEPT segun DSM-5 (intrusion, evitacion, cognicion/animo, hiperactivacion, disociacion, disfuncionalidad)",10 a 15 minutos (21 ítems clínicos de gravedad),academico
Autoinforme,196,sias_152,SIAS,Escala de Ansiedad ante la Interaccion Social,Eje I,Ansiedad ante la interaccion social directa,5 a 10 minutos (20 ítems),academico
Autoinforme,196,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Eje I,Malestar subjetivo y evitacion conductual en situaciones sociales,8 a 12 minutos (28 ítems),academico
Autoinforme,196,pss14_155,PSS-14,Escala de Estres Percibido (version de 14 items),Eje I,"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",5 a 8 minutos.,academico
Autoinforme,196,cae_156,CAE,Cuestionario de Afrontamiento del Estres,Eje II,Estrategias de afrontamiento del estres,8 a 12 minutos en autoadministración.,academico
Autoinforme,196,eas_157,EAS,Escala de Apoyo Social,Eje II,Apoyo social percibido (familiar y de amistades),4 a 6 minutos en autoadministración.,academico
Autoinforme,196,erq_158,ERQ,Emotion Regulation Questionnaire - Cuestionario de Autorregulacion Emocional,Eje II,"Regulacion emocional (reevaluacion cognitiva, supresion expresiva)",2 a 4 minutos en autoadministración; 5 minutos asistido.,abierto
Autoinforme,196,fmps_159,FMPS,Escala Multidimensional de Perfeccionismo,Eje II,Perfeccionismo multidimensional,6 a 10 minutos en autoadministración; 12 minutos asistido.,academico
Autoinforme,196,panas_161,PANAS,Escala de Afecto Positivo y Negativo,Eje II,Afecto positivo y negativo,2 a 3 minutos en autoadministración; 4 minutos asistido.,academico
Autoinforme,196,rs14_162,RS-14,Escala de Resiliencia de 14 items,Eje II,Resiliencia,3 a 5 minutos en autoadministración.,academico
Autoinforme,196,tmms24_163,TMMS-24,Trait Meta-Mood Scale-24,Eje II,"Inteligencia emocional percibida (atencion, claridad, reparacion)",4 a 6 minutos en autoadministración; 7 minutos asistido.,academico
Autoinforme,196,beaq_164,BEAQ,Brief Experiential Avoidance Questionnaire,Eje II,Evitacion experiencial,2 a 4 minutos en autoadministración.,academico
Autoinforme,196,vq_165,VQ,Valuing Questionnaire,Eje II,Vida valiosa (Progreso vs Obstruccion) segun valores personales,2 a 3 minutos en autoadministración; 4 minutos asistido.,academico
Autoinforme,196,psyflex_166,Psy-Flex,Cuestionario Psy-Flex (flexibilidad psicologica),Eje II,"Flexibilidad psicologica (presencia, apertura, defusion, yo estable, valores, compromiso)",1 minuto en autoadministración; 2 minutos asistido.,academico
Autoinforme,196,cope48_167,COPE-48,Versión española del COPE-48 (adaptación clínica del COPE Inventory),Eje II,"Afrontamiento (coping), 9 escalas clínicas",10 a 14 minutos en autoadministración.,abierto
Autoinforme,196,ffmq-sf_168,FFMQ-SF,Cuestionario de Cinco Facetas de Mindfulness - Forma Corta,Eje II,"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",4 a 6 minutos en autoadministración; 7 minutos asistido.,abierto
Autoinforme,196,scs_169,SCS,Escala de Autocompasión (Self-Compassion Scale - Formas de 26 y 12 ítems),Eje II,Autocompasión y regulación afectiva (3 polaridades / 6 subescalas),SCS completa: 6 a 8 minutos; SCS-SF: 2 a 3 minutos.,abierto
Autoinforme,196,ras-h_170,RAS-H,Escala de Valoración de la Relación (Relationship Assessment Scale - Hendrick),Eje IV,Satisfacción diádica y calidad de la relación de pareja,2 a 3 minutos en administración autónoma expedita.,academico
Autoinforme,196,gds_179,GDS,"Geriatric Depression Scale (Yesavage, 30 items)",Eje I,Depresión en adultos mayores,8 a 12 minutos (30 reactivos de respuesta dicotómica),academico
Autoinforme,196,cds_180,CDS,Calgary Depression Scale for Schizophrenia,Eje I,Depresión en esquizofrenia,10 a 15 minutos (heteroadministrada mediante entrevista clínica guiada y observación),academico
Autoinforme,196,mdq_181,MDQ,Mood Disorder Questionnaire,Eje I,Cribado de espectro bipolar,5 a 7 minutos.,academico
Autoinforme,196,rfl_185,RFL,Reasons for Living Inventory (Linehan),Eje I,Factores protectores frente al suicidio,10 a 15 minutos (48 ítems autoadministrados),academico
