id,sigla,nombre_espanol,nombre_original,autores_originales,adaptacion_hispana,eje_codigo,eje_numero,eje_nombre,constructo,tema_principal,temas_secundarios,sinonimos_busqueda,tipo_instrumento_categoria,tipo_instrumento_detalle,funcion_clinica_categoria,poblacion,franjas_etarias,tiempo_administracion,formato_respuesta,acceso_categoria,regimen_licencia,protocolo_disponible,carpeta_relativa,archivo_ficha_tecnica,archivo_protocolo,resumen_clinico
ies-r_11,IES-R,Escala de Impacto del Evento Revisada,_Impact of Event Scale - Revised (IES-R)_,"Daniel S. Weiss y Charles R. Marmar (1997), sobre el modelo original de Mardi Horowitz et al. (1979).","Báguena et al. (2001, validación española de referencia); Caamaño et al. (2011, Chile); Gargurevich et al. (2009).",Eje I,1,"Problemas, síntomas y riesgo",Trauma y estrés postraumático,Trauma y estrés postraumático,,TEPT; trauma complejo; estrés agudo; disociación,Autoinforme,Escala de autoinforme de 22 reactivos de 5 anclajes (0 = Nada a 4 = Extremadamente).,Diagnóstico y severidad,Adultos,adultos,6 a 10 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí,SI,Eje I/IES-R,IES-R_ficha_tecnica.pdf,IES-R_protocolo.pdf,"Cuestionario de autoinforme · 22 ítems · Likert de 5 puntos · 3 dimensiones · 5 min · Autoadministrado, aproximadame"
dts_12,DTS,Escala de Trauma de Davidson,Davidson Trauma Scale (DTS),"Jonathan R. T. Davidson, S. W. Book, J. T. Colket, L. A. Tupler et al. (1997)","Julio Bobes, Alfredo Calcedo-Ordóñez, M. Paz García-Portilla, M. Bousoño et al. (2000)",Eje I,1,"Problemas, síntomas y riesgo",Trauma y estrés postraumático,Trauma y estrés postraumático,,TEPT; trauma complejo; estrés agudo; disociación,Autoinforme,Autoinforme estructurado bidimensional de estrés postraumático,Diagnóstico y severidad,Adultos,adultos,8 a 12 minutos (17 reactivos dobles: 34 valoraciones),Doble escala Likert de 5 puntos: Frecuencia (0-4) y Gravedad/Malestar (0-4),comercial,No (Copyright MHS Assessments),SI,Eje I/DTS,DTS_ficha_tecnica.pdf,DTS_protocolo.pdf,Cuestionario de autoinforme · 17 ítems · Likert de 5 puntos · 3 dimensiones
bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,"Inventario de Depresión de Beck - Segunda Edición (Beck Depression Inventory-II, BDI-II)","Aaron T. Beck, Robert A. Steer & Gregory K. Brown (The Psychological Corporation, 1996)","Jesús Sanz, L. Perdigón, M. Vázquez et al. (2003, Clin Salud; Sanz et al., 2005, Psicothema)",Eje I,1,"Problemas, síntomas y riesgo",Depresión y anhedonia,Depresión y estado de ánimo,,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo,Autoinforme,21 ítems politómicos con 4 afirmaciones jerarquizadas en severidad creciente (0 a 3 puntos),Diagnóstico y severidad,Adolescentes (>13 años) y adultos,adolescentes; adultos,5 a 10 minutos (autoadministrado o mediante lectura asistida en deterioro motor),Escala de respuesta estructurada psicométrica,comercial,No (Copyright Pearson),SI,Eje I/BDI-II,BDI-II_ficha_tecnica.pdf,BDI-II_protocolo.pdf,Cuestionario de autoinforme · 21 ítems · Likert de 4 puntos · 2 dimensiones
phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,_Patient Health Questionnaire-9 (PHQ-9)_,"Drs. Kurt Kroenke, Robert L. Spitzer y Janet B. W. Williams (2001), Universidad de Columbia.",Díez-Quevedo et al. (2001); validado por Baader et al. (2012) y Saldivia et al. (2019).,Eje I,1,"Problemas, síntomas y riesgo",Depresión y anhedonia,Depresión y estado de ánimo,,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo,Autoinforme,Autoinforme escalar de 9 reactivos tipo Likert (0 a 3) + 1 ítem complementario de discapacidad funcional.,Cribado / Triaje rápido,Adolescentes y adultos,adolescentes; adultos,2 a 3 minutos en autoadministración; 3 a 5 minutos asistido.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público),SI,Eje I/PHQ-9,PHQ-9_ficha_tecnica.pdf,PHQ-9_protocolo.pdf,Cuestionario de autoinforme · 9 ítems · Likert de 4 puntos · Unidimensional
ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,_Center for Epidemiologic Studies Depression Scale (CES-D)_,Lenore S. Radloff (1977; National Institute of Mental Health - NIMH),Soler et al. (1997); Vázquez et al. (2007); Saldivia et al. (2019).,Eje I,1,"Problemas, síntomas y riesgo",Depresión y anhedonia,Depresión y estado de ánimo,,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo,Autoinforme,Autoinforme de 20 reactivos tipo Likert (0 a 3) con 4 ítems redactados en sentido positivo (invertidos).,Diagnóstico y severidad,Adultos y adolescentes,adolescentes; adultos,4 a 7 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público),SI,Eje I/CES-D,CES-D_ficha_tecnica.pdf,CES-D_protocolo.pdf,Cuestionario de autoinforme · 20 ítems · Likert de 4 puntos · 4 dimensiones
shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,_Snaith-Hamilton Pleasure Scale (SHAPS)_,"R. Philip Snaith, M. Hamilton, S. Morley, A. Humayan, D. Hargreaves y P. Trigwell (1995).","Bobes et al. (2000, validación clínica española); Franken et al. (2007); Fuentes et al. (2018).",Eje I,1,"Problemas, síntomas y riesgo",Depresión y anhedonia,Depresión y estado de ánimo,,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo,Autoinforme,Autoinforme de 14 ítems con formato de 4 alternativas corregido dicotómicamente (0 ó 1).,Diagnóstico y severidad,Adultos,adultos,3 a 5 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí,SI,Eje I/SHAPS,SHAPS_ficha_tecnica.pdf,SHAPS_protocolo.pdf,Cuestionario de autoinforme · 14 ítems · Likert de 4 puntos · Unidimensional
hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Hamilton Depression Rating Scale - Versión de 17 ítems (HDRS-17 / HAM-D),Max Hamilton (1960; revisión en 1967),J. A. Ramos-Brieva y A. Cordero-Villafáfila (1986); Julio Bobes et al. (2003),Eje I,1,"Problemas, síntomas y riesgo",Depresión y anhedonia,Depresión y estado de ánimo,,depresión mayor; distimia; afecto negativo; anhedonia; ánimo bajo,Heteroaplicado / Entrevista clínica,Entrevista clínica estructurada heteroaplicada por facultativo de salud mental,Diagnóstico y severidad,Adultos,adultos,20 a 30 minutos (administrada por clínico entrenado),Ítems con escala de 0 a 4 puntos (8 ítems) y de 0 a 2 puntos (9 ítems),abierto,Sí (Dominio público la versión original de 17 ítems),SI,Eje I/HDRS _ HAM-D,HDRS / HAM-D_ficha_tecnica.pdf,HDRS / HAM-D_protocolo.pdf,Entrevista heteroaplicada · 17 ítems · Evaluación clínica escalada. · Generalmente unidimensional · Entrevista clínica heteroaplic
y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Yale-Brown Obsessive Compulsive Scale (Y-BOCS),"Wayne K. Goodman, Lawrence H. Price, Steven A. Rasmussen et al. (1989)",David Mataix-Cols et al. (2002); Banco de Instrumentos CIBERSAM / Bobes et al. (2004),Eje I,1,"Problemas, síntomas y riesgo",Obsesiones y compulsiones,Obsesiones y compulsiones,,TOC; dudas obsesivas; comprobación; contaminación; rituales,Heteroaplicado / Entrevista clínica,Heteroaplicada mediante entrevista clínica semiestructurada (tras lista de síntomas diana),Diagnóstico y severidad,Adultos (existe versión infantil: CY-BOCS),niños; adultos,20 a 30 minutos (10 ítems clínicos nucleares precedidos por el inventario de síntomas),Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público para uso no comercial),SI,Eje I/Y-BOCS,Y-BOCS_ficha_tecnica.pdf,Y-BOCS_protocolo.pdf,Heteroaplicada — clínico · 10 ítems · Escala de 5 puntos · Entrevista clínica estructurad
oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,_Obsessive-Compulsive Inventory–Revised (OCI-R)_,"Dra. Edna B. Foa et al. (2002), Center for the Treatment and Study of Anxiety, Universidad de Pensilvania.",Fullana et al. (2005); validado también por Belloch et al. (2006).,Eje I,1,"Problemas, síntomas y riesgo",Obsesiones y compulsiones,Obsesiones y compulsiones,,TOC; dudas obsesivas; comprobación; contaminación; rituales,Autoinforme,Autoinforme de 18 reactivos tipo Likert (0 a 4) estructurado en 6 subescalas factoriales.,Diagnóstico y severidad,Adultos,adultos,3 a 5 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (en anexos de publicaciones originales),SI,Eje I/OCI-R,OCI-R_ficha_tecnica.pdf,OCI-R_protocolo.pdf,Cuestionario de autoinforme · 18 ítems · Likert de 5 puntos · 6 dimensiones
pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,_Padua Inventory - Washington State University Revision (PI-WSUR)_,"G. Leonard Burns, D. A. Keortge, G. M. Formea y C. F. Sternberger (1996), sobre Sanavio (1988).","David Mataix-Cols, M. Sánchez-Turet y M. Vallejo-Sánchez (1999, 2002); Bobes et al. (2004).",Eje I,1,"Problemas, síntomas y riesgo",Obsesiones y compulsiones,Obsesiones y compulsiones,,TOC; dudas obsesivas; comprobación; contaminación; rituales,Autoinforme,Autoinforme de 39 reactivos de 5 anclajes (0 = Nada a 4 = Muchísimo) organizados en 5 factores puros.,Diagnóstico y severidad,Adultos,adultos,8 a 12 minutos.,Escala de respuesta estructurada psicométrica,comercial,"No (Depende de derechos de la publicación original, uso de investigación permitido).",SI,Eje I/PI-WSUR,PI-WSUR_ficha_tecnica.pdf,PI-WSUR_protocolo.pdf,Cuestionario de autoinforme · 39 ítems · Likert de 5 puntos · 5 dimensiones
docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,_Dimensional Obsessive-Compulsive Scale (DOCS)_,"Jonathan S. Abramowitz, Laura E. Deacon, Matthew T. Olatunji et al. (2010), UNC Chapel Hill.","López-Roig, Belloch, Carrió et al. (2013, validación de referencia en España); Arnáez et al. (2021).",Eje I,1,"Problemas, síntomas y riesgo",Obsesiones y compulsiones,Obsesiones y compulsiones,,TOC; dudas obsesivas; comprobación; contaminación; rituales,Autoinforme,Autoinforme estructurado en 4 dimensiones sintomáticas independientes con 5 parámetros de gravedad cada una (20 reactivos).,Diagnóstico y severidad,Adultos,adultos,10 a 15 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Disponible por los autores),SI,Eje I/DOCS,DOCS_ficha_tecnica.pdf,DOCS_protocolo.pdf,Cuestionario de autoinforme · 20 ítems · Likert de 5 puntos · 4 dimensiones
phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,_Patient Health Questionnaire - 15 Somatic Symptom Severity Scale (PHQ-15)_,"Kurt Kroenke, Robert L. Spitzer y Janet B. W. Williams (2002), Columbia University.",Rosendal et al. (2005); de la Torre et al. (2012); validación del Grupo PHQ España.,Eje I,1,"Problemas, síntomas y riesgo",Somatización y ansiedad por la salud,Dolor y síntomas somáticos,,somatización; fatiga crónica; fibromialgia; dolor crónico,Autoinforme,"Escala de autoinforme de 15 síntomas somáticos puntuados en escala Likert de 3 anclajes (0, 1 y 2).",Diagnóstico y severidad,Adultos,adultos,3 a 5 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Dominio público),SI,Eje I/PHQ-15,PHQ-15_ficha_tecnica.pdf,PHQ-15_protocolo.pdf,Cuestionario de autoinforme · 15 ítems · Likert de 3 puntos · Unidimensional
wi-7_23,WI,Índice de Whiteley,_Whiteley Index of Hypochondriasis (WI)_,"Prof. Issy Pilowsky (1967), University of Sydney / University of Sheffield.","Avia (1993, traducción clínica de referencia); Fernández Martínez y Fernández Rodríguez (1998, Psicothema).",Eje I,1,"Problemas, síntomas y riesgo",Somatización y ansiedad por la salud,Dolor y síntomas somáticos,,somatización; fatiga crónica; fibromialgia; dolor crónico,Autoinforme,Autoinforme de 14 reactivos dicotómicos (Sí/No) con un reactivo de inversión (ítem 7).,Diagnóstico y severidad,Adultos,adultos,3 a 5 minutos.,Escala de respuesta estructurada psicométrica,abierto,"Sí — adaptación española de 14 ítems (Pilowsky 1967 / Avia 1993), verificada contra 2 fuentes clínicas independientes coincidentes.",SI,Eje I/WI,WI_ficha_tecnica.pdf,WI_protocolo.pdf,Cuestionario de autoinforme · 14 ítems · Dicotómica (Sí/No) · 3 dimensiones
shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,_Short Health Anxiety Inventory (SHAI)_,"Paul M. Salkovskis, Katharine A. Rimes, Hilary M. C. Warwick y David M. Clark (2002).","Arnáez, García-Soriano, López-Santiago y Belloch (2019); Caballo (2006); Fernández et al. (2014).",Eje I,1,"Problemas, síntomas y riesgo",Somatización y ansiedad por la salud,Dolor y síntomas somáticos,,somatización; fatiga crónica; fibromialgia; dolor crónico,Autoinforme,Autoinforme de 18 reactivos de 4 opciones graduadas (0 a 3) tipo Beck (14 principales + 4 de consecuencias).,Diagnóstico y severidad,Adultos,adultos,5 a 9 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Uso académico),SI,Eje I/SHAI,SHAI_ficha_tecnica.pdf,SHAI_protocolo.pdf,Cuestionario de autoinforme · 18 ítems · Selección múltiple progresiva · 2 dimensiones · No promover como protocolo SHA
scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Symptom Checklist-90-Revised (SCL-90-R),"Leonard R. Derogatis (1977, 1994)","José Luis González de Rivera et al. (1989, 2002); TEA Ediciones / Pearson",Eje I,1,"Problemas, síntomas y riesgo",Somatización y ansiedad por la salud,Dolor y síntomas somáticos,,somatización; fatiga crónica; fibromialgia; dolor crónico,Autoinforme,Autoinforme estructurado con escala Likert de 5 puntos (0 = Nada a 4 = Mucho/Extremadamente),Diagnóstico y severidad,Adolescentes y adultos,adolescentes; adultos,12 a 15 minutos (90 ítems referidos a los últimos 7 días),Escala de respuesta estructurada psicométrica,comercial,No (Pearson),NO,Eje I/SCL-90-R,SCL-90-R_ficha_tecnica.pdf,,Cuestionario de autoinforme · 12 ítems · Likert de 5 puntos · 9 dimensiones
bis-11_26,BIS-11,Escala de Impulsividad de Barratt,"Escala de Impulsividad de Barratt - Versión 11 (Barratt Impulsiveness Scale, BIS-11)","Ernest S. Barratt, Jim H. Patton & Matthew S. Stanford (Univ. of Texas Medical Branch, 1995)","María A. Oquendo et al. (2001, Actas Esp Psiquiatr); Salvo & Castro (2013, Rev Chil Neuro-Psiquiatr)",Eje I,1,"Problemas, síntomas y riesgo",Impulsividad,Impulsividad y conducta disruptiva,,impulsividad; conducta antisocial; conducta disruptiva; trastorno de déficit de atención e hiperactividad; TDAH; conducta agresiva; conducta inadecuada,Autoinforme,30 ítems evaluados en escala Likert de 4 puntos (1 = Rara vez/Nunca; 4 = Siempre/Casi siempre),Diagnóstico y severidad,Adolescentes y adultos,adolescentes; adultos,5 a 8 minutos (autoadministrado),Escala de respuesta estructurada psicométrica,abierto,Sí (Uso de investigación),SI,Eje I/BIS-11,BIS-11_ficha_tecnica.pdf,BIS-11_protocolo.pdf,Autoinforme · 30 ítems · Escala de 4 puntos · 10-30 min · Papel y lápiz o entrevista est
upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,UPPS-P Impulsive Behavior Scale (Short Version / UPPS-P 20 ítems),"Stephen P. Whiteside y Donald R. Lynam (2001; versión P con Urgencia Positiva por Cyders et al., 2007)",Antonio Cándido et al. (2012); Antonio Verdejo-García et al. (2010),Eje I,1,"Problemas, síntomas y riesgo",Impulsividad,Impulsividad y conducta disruptiva,,impulsividad; conducta antisocial; conducta disruptiva; trastorno de déficit de atención e hiperactividad; TDAH; conducta agresiva; conducta inadecuada,Autoinforme,Autoinforme estructurado de 20 ítems con escala Likert de 4 puntos (1 a 4),Diagnóstico y severidad,Adolescentes y adultos,adolescentes; adultos,5 a 8 minutos (20 ítems),Escala de respuesta estructurada psicométrica,abierto,"Sí (Dominio público, UPPS website)",SI,Eje I/UPPS-P,UPPS-P_ficha_tecnica.pdf,UPPS-P_protocolo.pdf,Cuestionario de autoinforme · 20 ítems · Likert de 4 puntos · 5 dimensiones
dii_28,DII,Inventario de Impulsividad de Dickman,_Dickman Impulsivity Inventory (DII)_,"Scott J. Dickman (1990), University of Illinois at Urbana-Champaign.","Chico, Tous, Lorenzo-Seva y Vigil-Colet (2003, validación española en Psicothema).",Eje I,1,"Problemas, síntomas y riesgo",Impulsividad,Impulsividad y conducta disruptiva,,impulsividad; conducta antisocial; conducta disruptiva; trastorno de déficit de atención e hiperactividad; TDAH; conducta agresiva; conducta inadecuada,Autoinforme,Autoinforme de 23 reactivos dicotómicos (Verdadero/Falso) distribuidos en dos dimensiones independientes.,Diagnóstico y severidad,Adultos,adultos,4 a 6 minutos.,Escala de respuesta estructurada psicométrica,abierto,Sí (Revistas científicas),SI,Eje I/DII,DII_ficha_tecnica.pdf,DII_protocolo.pdf,Cuestionario de autoinforme · 23 ítems · Dicotómica (Sí/No) · 2 dimensiones
