constructo,tema
Conducta antisocial,"Agresividad, ira y violencia"
Conducta disruptiva,Impulsividad y conducta disruptiva
Conductas de salud,Alfabetización y conductas de salud
Consumo de alcohol,Sustancias y alcoholismo
Craving/compulsión por alcohol,Sustancias y alcoholismo
Cribado Cognitivo Global (Estado Mental),Cribado cognitivo y demencias
Cribado cognitivo global,Cribado cognitivo y demencias
Cribado de espectro bipolar,Bipolaridad y manía
Cronotipo/ritmo circadiano,Sueño y ritmos circadianos
Dependencia alcohólica,Sustancias y alcoholismo
Dependencia de la autoestima respecto a la apariencia/integridad corporal,Conducta alimentaria e imagen corporal
Dependencia interpersonal,Apego y relaciones interpersonales
Depresión en adultos mayores,Depresión y estado de ánimo
Depresión en esquizofrenia,Depresión y estado de ánimo
Depresión y anhedonia,Depresión y estado de ánimo
"Depresión, ansiedad y estrés",Depresión y estado de ánimo
"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",Desempeño laboral y burnout
Desorganización cognitiva y conductual,Psicosis y experiencias delirantes
Deterioro cognitivo en demencia,Cribado cognitivo y demencias
Diagnóstico de alcoholismo,Sustancias y alcoholismo
Discapacidad funcional,Funcionamiento y discapacidad
"Dolor, fatiga y síntomas somáticos",Dolor y síntomas somáticos
Efectos secundarios de psicofármacos,Efectos de psicofármacos
Enfermedad médica y afrontamiento,Afrontamiento y resiliencia
Esquemas maladaptativos,Esquemas y procesos cognitivos
Estigma y discriminación,Apoyo social y familia
Estrategias de afrontamiento del estres,Afrontamiento y resiliencia
"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",Afrontamiento y resiliencia
Estrés psicológico,Trauma y estrés postraumático
Evitacion experiencial,Flexibilidad psicológica y mindfulness
Evitación experiencial,Flexibilidad psicológica y mindfulness
Experiencias perceptivas inusuales,Psicosis y experiencias delirantes
Exposición a eventos traumáticos,Trauma y estrés postraumático
Exposición y afrontamiento,Afrontamiento y resiliencia
Factores protectores frente al suicidio,Suicidio y autolesión
Fallos cognitivos cotidianos,Memoria y aprendizaje
Fallos de memoria cotidiana (metamemoria),Memoria y aprendizaje
"Flexibilidad psicologica (presencia, apertura, defusion, yo estable, valores, compromiso)",Flexibilidad psicológica y mindfulness
Fobia social,Ansiedad y fobia
Fobia social (heteroaplicada),Ansiedad y fobia
"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Funcionamiento y discapacidad
Funcionamiento global (eje V del DSM-IV),Funcionamiento y discapacidad
Funcionamiento sexual,Salud sexual
Funciones Ejecutivas,Funciones ejecutivas
Funciones ejecutivas cotidianas (autoinforme),Funciones ejecutivas
Función eréctil,Salud sexual
Fusión cognitiva,Flexibilidad psicológica y mindfulness
"Gravedad de sintomas de TEPT segun DSM-5 (intrusion, evitacion, cognicion/animo, hiperactivacion, disociacion, disfuncionalidad)",Trauma y estrés postraumático
Gravedad multidimensional de adicción,Sustancias y alcoholismo
Habilidades específicas de regulación emocional (modelo ACE),Regulación emocional
Hostilidad/agresividad,"Agresividad, ira y violencia"
Ideación delirante,Psicosis y experiencias delirantes
Ideación y Conducta suicida,Suicidio y autolesión
Identidad cultural y Aculturación,Identidad y valores
Identidad personal,Identidad y valores
Identidad étnica (Exploración y Compromiso/Pertenencia),Identidad y valores
Impulsividad,Impulsividad y conducta disruptiva
"Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",Impulsividad y conducta disruptiva
Insatisfacción con la forma y figura corporal,Conducta alimentaria e imagen corporal
Insight/conciencia de enfermedad,Psicosis y experiencias delirantes
"Inteligencia emocional percibida (atencion, claridad, reparacion)",Regulación emocional
Intensidad de la reactividad afectiva,Regulación emocional
Intolerancia a la incertidumbre,Ansiedad y fobia
Malestar subjetivo y evitacion conductual en situaciones sociales,Ansiedad y fobia
"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Memoria y aprendizaje
Metacogniciones disfuncionales,Esquemas y procesos cognitivos
"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",Flexibilidad psicológica y mindfulness
Motivación y Orientación a metas,Identidad y valores
Obsesiones y compulsiones,Obsesiones y compulsiones
Parkinsonismo/extrapiramidalismo inducido,Efectos de psicofármacos
Perfeccionismo multidimensional,Rasgos de personalidad
Personalidad Oscura y Luminosa (Tríadas y Tétradas),Personalidad patológica
Preocupación crónica,Ansiedad y fobia
Psicopatología general (heteroaplicada),Psicosis y experiencias delirantes
Psicopatología general (positiva/negativa),Psicosis y experiencias delirantes
"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",Personalidad patológica
"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Rasgos de personalidad
Rasgos de personalidad narcisista,Personalidad patológica
"Regulacion emocional (reevaluacion cognitiva, supresion expresiva)",Regulación emocional
Regulación y Desregulación emocional,Regulación emocional
Relación paciente-profesional,Apego y relaciones interpersonales
"Rendimiento académico, Hábitos de estudio y Adaptación escolar",Rendimiento académico
Resiliencia,Afrontamiento y resiliencia
"Resiliencia, Afrontamiento y Fortalezas",Afrontamiento y resiliencia
Respuesta al tratamiento en TEPT,Trauma y estrés postraumático
Riesgo de apnea del sueño,Sueño y ritmos circadianos
Riesgo de psicosis,Psicosis y experiencias delirantes
Riesgo de violencia,"Agresividad, ira y violencia"
Riesgo de violencia autodirigida,"Agresividad, ira y violencia"
"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",Suicidio y autolesión
Rigidez y Flexibilidad cognitiva,Flexibilidad psicológica y mindfulness
Rumiación,Esquemas y procesos cognitivos
Salud sexual (disfunción inducida por fármacos),Salud sexual
Salud sexual (propensión a inhibición/excitación),Salud sexual
Satisfacción diádica y calidad de la relación de pareja,Apego y relaciones interpersonales
Sensibilidad al rechazo,Apego y relaciones interpersonales
Sensibilización central y carga de síntomas,Ansiedad y fobia
Sentido de vida y Propósito vital,Bienestar y satisfacción vital
Severidad de dependencia alcohólica,Sustancias y alcoholismo
Severidad de manía,Bipolaridad y manía
Severidad de manía (heteroaplicada),Bipolaridad y manía
Severidad depresiva (heteroaplicada),Depresión y estado de ánimo
"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",Personalidad patológica
"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",Obsesiones y compulsiones
Soledad y aislamiento social,Apoyo social y familia
Somatización y ansiedad por la salud,Dolor y síntomas somáticos
Sueño y ritmos circadianos,Sueño y ritmos circadianos
Síntomas bulímicos,Conducta alimentaria e imagen corporal
Síntomas disejecutivos conductuales,Funciones ejecutivas
Síntomas prodrómicos de psicosis,Psicosis y experiencias delirantes
Tabaco,Sustancias y alcoholismo
Trauma acumulado y Adversidad temprana,Trauma y estrés postraumático
Trauma y estrés postraumático,Trauma y estrés postraumático
Uso problemático de sustancias,Sustancias y alcoholismo
Valores personales,Identidad y valores
Vida valiosa (Progreso vs Obstruccion) segun valores personales,Identidad y valores
Vulnerabilidad y victimización,Trauma y estrés postraumático
