termino_busqueda,total_coincidencias,siglas_coincidentes,ids_coincidentes
d2-R,1,d2-R,d2-r_121
DAI,1,DAI,dai_193
DASS-21,1,DASS-21,dass-21_5
DAST-10,1,DAST-10,dast-10_40
DBD,1,DBD,dbd_37
delirio,8,PDI-21; CAPE-42; PANSS; BPRS; SIPS; SOPS; SUMD; DAI,pdi-21_43; cape-42_44; panss_45; bprs_173; sips_174; sops_175; sumd_176; dai_193
Demencia,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
denominación,2,BNT; TFV,bnt_130; tfv_131
dependencia,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
Dependencia alcohólica,1,EIDA,eida_199
Dependencia de la autoestima respecto a la apariencia/integridad corporal,1,MBA,mba_new1
dependencia emocional,7,ECR-R; IDI; RSQ; IIP-32; RAS; CREM-P; RAS-H,ecr-r_69; idi_70; rsq_71; iip-32_72; ras_73; cremp_new1; ras-h_170
Dependencia interpersonal,1,IDI,idi_70
Depresión en adultos mayores,1,GDS,gds_179
Depresión en esquizofrenia,1,CDS,cds_180
depresión mayor,12,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216
Depresión y anhedonia,5,BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D,bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17
Depresión y estado de ánimo,13,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS; SDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216; sds_new
"Depresión, ansiedad y estrés",1,DASS-21,dass-21_5
DERS,1,DERS,ders_59
desajuste circadiano,6,PSQI; ISI; ESS; MEQ-SA; STOP-Bang; COS,psqi_135; isi_136; ess_137; meqsa_new1; stopbang_new1; cos_203
desapego,6,PID-5; SD3; SD4; LTS; BSL-23; NPI-N,pid-5_80; sd3_81; sd4_82; lts_83; bsl23_149; npi-n_218
desempeño académico,2,CHTE; BASC-3,chte_103; basc-3_104
Desempeño laboral y burnout,2,MBI; UWES,mbi_105; uwes_106
"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",2,MBI; UWES,mbi_105; uwes_106
Desesperanza y riesgo suicida,1,BHS,bhs_new
Desorganización cognitiva y conductual,1,PANSS,panss_45
Deterioro cognitivo,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
Deterioro cognitivo en demencia,1,ADAS-Cog,adascog_172
DEX-Sp,1,DEX-Sp,dex-sp_new1
DGRP,1,DGRP,dgrp_192
Diagnóstico de alcoholismo,1,MALT,malt_195
Diagnóstico diferencial de demencias,1,HIS,his_new
Diario-Panico,1,Diario-Panico,diario-panico_new
DII,1,DII,dii_28
dinámica de pareja,9,UCLA-R; DJGLS; ISMI; EOD; MOS-SSS; FACES-IV; APGAR; EAS; SASS,ucla-r_74; djgls_75; ismi_98; eod_99; mos-sss_107; faces-iv_108; apgar_109; eas_157; sass_213
Discapacidad funcional,1,SDI,sdi_212
discapacidad física,5,WHODAS 2.0; BARTHEL; Escala de Lawton; EEAG-GAF; SDI,whodas_2.0_100; indice_de_barth_101; escala_de_lawton_102; eeaggaf_211; sdi_212
discapacidad intelectual,5,WHODAS 2.0; BARTHEL; Escala de Lawton; EEAG-GAF; SDI,whodas_2.0_100; indice_de_barth_101; escala_de_lawton_102; eeaggaf_211; sdi_212
discapacidad psíquica,5,WHODAS 2.0; BARTHEL; Escala de Lawton; EEAG-GAF; SDI,whodas_2.0_100; indice_de_barth_101; escala_de_lawton_102; eeaggaf_211; sdi_212
disfunción emocional,10,DERS; CERQ; LEAS; TAS-20; ERSQ; ERQ; PANAS; TMMS-24; SCS; AIM-A,ders_59; cerq_60; leas_61; tas-20_62; ersq_new1; erq_158; panas_161; tmms24_163; scs_169; aim-a_219
disociación,13,PSS; TICS; PCL-5; CAPS-5; IES-R; DTS; JVQ; ACEQ; CTQ-SF; EGS-R; TQ; DGRP; TOP-8,pss_6; tics_8; pcl-5_9; caps-5_10; ies-r_11; dts_12; jvq_50; aceq_93; ctq-sf_94; egsr_151; tq_191; dgrp_192; top-8_220
Disortodinia,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
distimia,12,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216
distorsiones cognitivas,3,RRS; MCQ-30; YSQ-S3,rrs_51; mcq-30_57; ysq-s3_58
DJGLS,1,DJGLS,djgls_75
DOCS,1,DOCS,docs_21
dolor crónico,7,PHQ-15; WI; SHAI; SCL-90-R; BPI; PCS; FSS,phq-15_22; wi-7_23; shai_24; scl-90-r_25; bpi_138; pcs_139; fss_140
Dolor y síntomas somáticos,7,PHQ-15; WI; SHAI; SCL-90-R; BPI; PCS; FSS,phq-15_22; wi-7_23; shai_24; scl-90-r_25; bpi_138; pcs_139; fss_140
"Dolor, fatiga y síntomas somáticos",3,BPI; PCS; FSS,bpi_138; pcs_139; fss_140
DTS,1,DTS,dts_12
dudas obsesivas,5,Y-BOCS; OCI-R; PI-WSUR; DOCS; IP,y-bocs_18; oci-r_19; pi-wsur_20; docs_21; ip_148
EAS,1,EAS,eas_157
EAT-26,1,EAT-26,eat-26_new
EAT-40,1,EAT-40,eat-40_new
EAT-40-SERGAS,1,EAT-40-SERGAS,eat-40-sergas_new
Eating behavior,4,BSQ; MBA; EDI-2; BITE,bsq_new1; mba_new1; edi2_201; bite_202
ECR-R,1,ECR-R,ecr-r_69
EDI-2,1,EDI-2,edi2_201
EEAG-GAF,1,EEAG-GAF,eeaggaf_211
EFECO,1,EFECO,efeco_new1
Efectos de psicofármacos,2,SAS; UKU,sas_209; uku_210
Efectos extrapiramidales y farmacovigilancia,1,BARS,bars_new
efectos secundarios,2,SAS; UKU,sas_209; uku_210
Efectos secundarios de psicofármacos,1,UKU,uku_210
EGS-R,1,EGS-R,egsr_151
eHEALS,1,eHEALS,eheals_new1
EI-Plutchik,1,EI-Plutchik,eiplutchik_187
EIDA,1,EIDA,eida_199
EMPC,1,EMPC,empc_new
Enfermedad de Alzheimer,5,MMSE; MoCA; MEC; ADAS-Cog; ADRQL,mmse_119; moca_120; mec_171; adascog_172; adrql_217
Enfermedad médica y afrontamiento,2,BIPQ; MAC,bipq_143; mac_144
engagement,2,MBI; UWES,mbi_105; uwes_106
Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),1,MINI,mini_new
EOD,1,EOD,eod_99
EOM-EIS-2,1,EOM-EIS-2,eom-eis-2_88
EQ-5D,1,EQ-5D,eq-5d_new
ER-25,1,ER-25,er-25_new
EROS,1,EROS,eros_65
ERQ,1,ERQ,erq_158
ERS,1,ERS,ers_147
ERSQ,1,ERSQ,ersq_new1
Escala de Acatisia de Barnes (BARS),1,BARS,bars_new
Escala de Ansiedad Social de Liebowitz (LSAS),1,LSAS,lsas_new
Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),1,SDS,sds_new
Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),1,CFSS,cfss_new
Escala de Autopercepción de Creatividad (CREA-24),1,CREA-24,crea-24_new
Escala de Bienestar Social de Keyes,1,SWBS,swbs_new
Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),1,SSS-V,sss-v_new
Escala de Comportamiento Agitado de Corrigan (ABS),1,ABS,abs_new
Escala de Desesperanza de Beck (BHS),1,BHS,bhs_new
Escala de Detección del TAG de Carroll y Davidson,1,Carroll-TAG,carroll-tag_new
Escala de Hamilton para la Ansiedad (HAM-A),1,HARS,hars_new
Escala de Impresión Clínica Global de Guy (CGI),1,CGI,cgi_new
Escala de Inteligencia Emocional de Schutte (SSEIT),1,SSEIT,sseit_new
