funcion_clinica,total_instrumentos,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Cribado / Triaje rápido,25,isi_136,ISI,Índice de Gravedad del Insomnio,Eje VI,Sueño y ritmos circadianos,Autoinforme,abierto
Cribado / Triaje rápido,25,ess_137,ESS,Escala de Somnolencia de Epworth,Eje VI,Sueño y ritmos circadianos,Autoinforme,abierto
Cribado / Triaje rápido,25,stopbang_new1,STOP-Bang,Cuestionario STOP-Bang,Eje VI,Riesgo de apnea del sueño,Autoinforme,abierto
Cribado / Triaje rápido,25,csi_new1,CSI,Inventario de Sensibilización Central,Eje VI,Sensibilización central y carga de síntomas,Autoinforme,abierto
Cribado / Triaje rápido,25,mec_171,MEC,Mini-Examen Cognoscitivo de Lobo,Eje V,Cribado cognitivo global,Heteroaplicado / Entrevista clínica,academico
Cribado / Triaje rápido,25,mdq_181,MDQ,Mood Disorder Questionnaire,Eje I,Cribado de espectro bipolar,Autoinforme,academico
Cribado / Triaje rápido,25,isca_196,ISCA,Interrogatorio Sistematizado de Consumos Alcohólicos,Eje I,Consumo de alcohol,Heteroaplicado / Entrevista clínica,academico
Cribado / Triaje rápido,25,sadq_198,SADQ,Severity of Alcohol Dependence Questionnaire,Eje I,Severidad de dependencia alcohólica,Heteroaplicado / Entrevista clínica,academico
Cribado / Triaje rápido,25,eat-26_new,EAT-26,Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),Eje I,Trastornos de la conducta alimentaria,Autoinforme,abierto
Cribado / Triaje rápido,25,cage_new,CAGE,Cuestionario CAGE para Detección de Alcoholismo,Eje I,Consumo de alcohol y adicciones,Autoinforme,abierto
Cribado / Triaje rápido,25,bsds_new,BSDS,Escala Diagnóstica del Espectro Bipolar de Ghaemi,Eje I,Trastorno bipolar y ciclotimia,Autoinforme,abierto
Cribado / Triaje rápido,25,asq-15_new,ASQ-15,Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),Eje I,Cribado multitrastorno de ansiedad,Autoinforme,abierto
Cribado / Triaje rápido,25,mini_new,MINI,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),Eje I,Evaluación diagnóstica multiaxial DSM-IV/CIE-10,Heteroaplicado / Entrevista clínica,comercial
Cribado / Triaje rápido,25,othmer-desouza_new,Othmer-DeSouza,Test de Detección de Somatización de Othmer y DeSouza,Eje VI,Síntomas somatomorfos y somatización,Autoinforme,abierto
Diagnóstico y severidad,183,stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,Eje I,Ansiedad y miedo,Autoinforme,comercial
Diagnóstico y severidad,183,bai_1,BAI,Inventario de Ansiedad de Beck,Eje I,Ansiedad y miedo,Autoinforme,comercial
Diagnóstico y severidad,183,isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Eje I,Ansiedad y miedo,Autoinforme,comercial
Diagnóstico y severidad,183,dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21",Eje I,"Depresión, ansiedad y estrés",Autoinforme,abierto
Diagnóstico y severidad,183,tics_8,TICS,Inventario de Estrés Crónico de Trier,Eje I,Estrés psicológico,Autoinforme,comercial
Diagnóstico y severidad,183,pcl-5_9,PCL-5,Lista de Chequeo del TEPT para el DSM-5,Eje I,Trauma y estrés postraumático,Autoinforme,abierto
Diagnóstico y severidad,183,caps-5_10,CAPS-5,Escala Administrada por Clínico para el TEPT,Eje I,Trauma y estrés postraumático,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,ies-r_11,IES-R,Escala de Impacto del Evento Revisada,Eje I,Trauma y estrés postraumático,Autoinforme,abierto
Diagnóstico y severidad,183,dts_12,DTS,Escala de Trauma de Davidson,Eje I,Trauma y estrés postraumático,Autoinforme,comercial
Diagnóstico y severidad,183,bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,Eje I,Depresión y anhedonia,Autoinforme,comercial
Diagnóstico y severidad,183,ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,Eje I,Depresión y anhedonia,Autoinforme,abierto
Diagnóstico y severidad,183,shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,Eje I,Depresión y anhedonia,Autoinforme,abierto
Diagnóstico y severidad,183,hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Eje I,Depresión y anhedonia,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Eje I,Obsesiones y compulsiones,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Eje I,Obsesiones y compulsiones,Autoinforme,abierto
Diagnóstico y severidad,183,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Eje I,Obsesiones y compulsiones,Autoinforme,comercial
Diagnóstico y severidad,183,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Eje I,Obsesiones y compulsiones,Autoinforme,abierto
Diagnóstico y severidad,183,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Diagnóstico y severidad,183,wi-7_23,WI,Índice de Whiteley,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Diagnóstico y severidad,183,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Eje I,Somatización y ansiedad por la salud,Autoinforme,abierto
Diagnóstico y severidad,183,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Eje I,Somatización y ansiedad por la salud,Autoinforme,comercial
Diagnóstico y severidad,183,bis-11_26,BIS-11,Escala de Impulsividad de Barratt,Eje I,Impulsividad,Autoinforme,abierto
Diagnóstico y severidad,183,upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,Eje I,Impulsividad,Autoinforme,abierto
Diagnóstico y severidad,183,dii_28,DII,Inventario de Impulsividad de Dickman,Eje I,Impulsividad,Autoinforme,abierto
Diagnóstico y severidad,183,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Eje I,Agresividad e ira,Autoinforme,abierto
Diagnóstico y severidad,183,srp-iv_33,SRP-IV,Escala de Autoinforme de Psicopatía - Versión IV,Eje III,Conducta antisocial,Autoinforme,comercial
Diagnóstico y severidad,183,scid-5-pd_34,SCID-5-PD,SCID-5-PD (Trastorno de la Personalidad Antisocial),Eje I,Conducta antisocial,Heteroaplicado / Entrevista clínica,comercial
Diagnóstico y severidad,183,cbcl_35,CBCL,Inventario de Comportamiento Infantil (Subescalas Externalizantes),Eje I,Conducta disruptiva,Autoinforme,comercial
Diagnóstico y severidad,183,sdq_36,SDQ,Cuestionario de Capacidades y Dificultades,Eje I,Conducta disruptiva,Autoinforme,abierto
Diagnóstico y severidad,183,dbd_37,DBD,Escala de Trastornos de Comportamiento Perturbador,Eje I,Conducta disruptiva,Autoinforme,abierto
Diagnóstico y severidad,183,iat_41,IAT,Test de Adicción a Internet,Eje I,Adicciones conductuales,Autoinforme,abierto
Diagnóstico y severidad,183,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Eje I,Adicciones conductuales,Observacional / Registro conductual,abierto
Diagnóstico y severidad,183,pdi-21_43,PDI-21,Inventario de Delirios de Peters,Eje I,Ideación delirante,Autoinforme,abierto
Diagnóstico y severidad,183,cape-42_44,CAPE-42,Evaluación Comunitaria de Experiencias Psíquicas,Eje I,Experiencias perceptivas inusuales,Autoinforme,abierto
Diagnóstico y severidad,183,panss_45,PANSS,Escala de los Síndromes Positivo y Negativo,Eje I,Desorganización cognitiva y conductual,Heteroaplicado / Entrevista clínica,comercial
Diagnóstico y severidad,183,isas_48,ISAS,Inventario de Declaraciones sobre Autolesiones,Eje I,Autolesiones no suicidas,Autoinforme,abierto
Diagnóstico y severidad,183,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Eje I,Riesgo de violencia,Autoinforme,comercial
Diagnóstico y severidad,183,neo-pi-r_76,NEO-PI-R,Inventario de Personalidad NEO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,comercial
Diagnóstico y severidad,183,bfi-2_77,BFI-2,Inventario de los Cinco Grandes 2,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,abierto
Diagnóstico y severidad,183,hexaco-pi-r_78,HEXACO-PI-R,Inventario de Personalidad HEXACO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,abierto
Diagnóstico y severidad,183,tci-r_79,TCI-R,Inventario de Temperamento y Carácter Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",Autoinforme,academico
Diagnóstico y severidad,183,pid-5_80,PID-5,Inventario de Personalidad para el DSM-5,Eje III,"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",Autoinforme,abierto
Diagnóstico y severidad,183,sd3_81,SD3,La Tríada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Diagnóstico y severidad,183,sd4_82,SD4,La Tétrada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Diagnóstico y severidad,183,lts_83,LTS,Escala de la Tríada Luminosa,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),Autoinforme,abierto
Diagnóstico y severidad,183,rses_84,RSES,Escala de Autoestima de Rosenberg,Eje III,Autoestima,Autoinforme,abierto
Diagnóstico y severidad,183,af-5_85,AF-5,Autoconcepto Forma 5,Eje III,Autoconcepto,Autoinforme,comercial
Diagnóstico y severidad,183,gse_86,GSE,Escala de Autoeficacia General,Eje III,Autoeficacia,Autoinforme,abierto
Diagnóstico y severidad,183,sccs_87,SCCS,Escala de Claridad del Autoconcepto,Eje III,Claridad del self,Autoinforme,abierto
Diagnóstico y severidad,183,eom-eis-2_88,EOM-EIS-2,Medida Objetiva Extendida del Estatus de Identidad del Ego,Eje III,Identidad personal,Autoinforme,abierto
Diagnóstico y severidad,183,pvq_89,PVQ,Cuestionario de Valores de Retrato,Eje III,Valores personales,Autoinforme,abierto
Diagnóstico y severidad,183,mlq_90,MLQ,Cuestionario de Significado de la Vida,Eje III,Sentido de vida y Propósito vital,Autoinforme,abierto
Diagnóstico y severidad,183,imi_91,IMI,Inventario de Motivación Intrínseca,Eje III,Motivación y Orientación a metas,Autoinforme,abierto
Diagnóstico y severidad,183,agq-r_92,AGQ-R,Cuestionario de Metas de Logro Revisado,Eje III,Motivación y Orientación a metas,Autoinforme,abierto
Diagnóstico y severidad,183,ctq-sf_94,CTQ-SF,Cuestionario de Trauma Infantil - Versión Breve,Eje I,Trauma acumulado y Adversidad temprana,Autoinforme,comercial
Diagnóstico y severidad,183,meim_95,MEIM,Multigroup Ethnic Identity Measure (Medida Multigrupo de Identidad Étnica),Eje III,Identidad étnica (Exploración y Compromiso/Pertenencia),Autoinforme,abierto
Diagnóstico y severidad,183,via_96,VIA,Índice de Aculturación de Vancouver,Eje III,Identidad cultural y Aculturación,Autoinforme,abierto
Diagnóstico y severidad,183,ismi_98,ISMI,Escala de Estigma Internalizado de la Enfermedad Mental,Eje III,Estigma y discriminación,Autoinforme,abierto
Diagnóstico y severidad,183,eod_99,EOD,Escala de Experiencias de Discriminación,Eje III,Estigma y discriminación,Autoinforme,abierto
Diagnóstico y severidad,183,whodas_2.0_100,WHODAS 2.0,Cuestionario para la Evaluación de Discapacidad de la OMS 2.0,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Autoinforme,abierto
Diagnóstico y severidad,183,indice_de_barth_101,BARTHEL,Índice de Barthel,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Observacional / Registro conductual,abierto
Diagnóstico y severidad,183,escala_de_lawton_102,Escala de Lawton,Escala de Lawton y Brody,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",Observacional / Registro conductual,abierto
Diagnóstico y severidad,183,chte_103,CHTE,Cuestionario de Hábitos y Técnicas de Estudio,Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",Autoinforme,academico
Diagnóstico y severidad,183,basc-3_104,BASC-3,Sistema de Evaluación de la Conducta de Niños y Adolescentes (Subescalas de Adaptación),Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",Autoinforme,comercial
Diagnóstico y severidad,183,mbi_105,MBI,Inventario de Burnout de Maslach,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",Autoinforme,comercial
Diagnóstico y severidad,183,uwes_106,UWES,Escala de Engagement en el Trabajo de Utrecht,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",Autoinforme,abierto
Diagnóstico y severidad,183,mos-sss_107,MOS-SSS,Cuestionario de Apoyo Social del Medical Outcomes Study,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Diagnóstico y severidad,183,faces-iv_108,FACES-IV,Escala de Cohesión y Adaptabilidad Familiar,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Diagnóstico y severidad,183,apgar_109,APGAR,APGAR Familiar,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Diagnóstico y severidad,183,swls_110,SWLS,Escala de Satisfacción con la Vida,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Diagnóstico y severidad,183,pwb_111,PWB,Escalas de Bienestar Psicológico,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Diagnóstico y severidad,183,fs_112,FS,Escala de Florecimiento,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Diagnóstico y severidad,183,cd-risc_115,CD-RISC,Escala de Resiliencia de Connor-Davidson,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,comercial
Diagnóstico y severidad,183,lot-r_116,LOT-R,Test de Orientación Vital Revisado (Optimismo),Eje III,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,abierto
Diagnóstico y severidad,183,via-is_118,VIA-IS,Inventario VIA de Fortalezas Personales,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",Autoinforme,abierto
Diagnóstico y severidad,183,d2-r_121,d2-R,Test de Atención d2-R,Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Diagnóstico y severidad,183,tmt_122,TMT,Test del Trazo (Trail Making Test),Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,tavec_123,TAVEC,Test de Aprendizaje Verbal de España-Complutense,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Diagnóstico y severidad,183,figura_de_rey_124,Figura de Rey,Test de Copia de una Figura Compleja,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,wcst_125,WCST,Test de Clasificación de Tarjetas de Wisconsin,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,comercial
Diagnóstico y severidad,183,stroop_test_126,Stroop Test,Test de Colores y Palabras,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,igt_127,IGT,Iowa Gambling Task,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,brief-2_128,BRIEF-2,Evaluación Conductual de la Función Ejecutiva,Eje V,Funciones Ejecutivas,Rendimiento neurocognitivo / Tarea de ejecución,comercial
Diagnóstico y severidad,183,bnt_130,BNT,Test de Denominación de Boston,Eje V,"Comprensión, Expresión y Fluidez Verbal",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Diagnóstico y severidad,183,tfv_131,TFV,Test de Fluidez Verbal (FAS y Animales),Eje V,"Comprensión, Expresión y Fluidez Verbal",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,rmet_132,RMET,Test de Leer la Mente en los Ojos,Eje V,Cognición Social e Interocepción,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,faux_pas_test_134,Faux Pas Test,Test de Meteduras de Pata,Eje V,Cognición Social e Interocepción,Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,psqi_135,PSQI,Índice de Calidad de Sueño de Pittsburgh,Eje VI,Sueño y ritmos circadianos,Autoinforme,abierto
Diagnóstico y severidad,183,bpi_138,BPI,Inventario Breve de Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,comercial
Diagnóstico y severidad,183,pcs_139,PCS,Escala de Catastrofización del Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,abierto
Diagnóstico y severidad,183,fss_140,FSS,Escala de Gravedad de la Fatiga,Eje VI,"Dolor, fatiga y síntomas somáticos",Autoinforme,abierto
Diagnóstico y severidad,183,ipaq_141,IPAQ,Cuestionario Internacional de Actividad Física,Eje VI,Conductas de salud,Autoinforme,abierto
Diagnóstico y severidad,183,mgl_o_mmas-4_142,MGL o MMAS-4,Cuestionario de Adherencia a la Medicación de Morisky-Green-Levine,Eje VI,Conductas de salud,Autoinforme,abierto
Diagnóstico y severidad,183,bipq_143,BIPQ,Cuestionario Breve de Percepción de Enfermedad (incluye IPQ-R como versión anidada),Eje VI,Enfermedad médica y afrontamiento,Autoinforme,abierto
Diagnóstico y severidad,183,mac_144,MAC,Escala de Ajuste Mental al Cáncer,Eje VI,Enfermedad médica y afrontamiento,Autoinforme,comercial
Diagnóstico y severidad,183,hls-eu-q16_145,HLS-EU-Q16,Cuestionario Europeo de Alfabetización en Salud - Versión Corta,Eje VI,Alfabetización en salud y relación con el sistema,Autoinforme,abierto
Diagnóstico y severidad,183,sahlsa-50_146,SAHLSA-50,Evaluación Breve de Alfabetización en Salud para Adultos de Habla Hispana,Eje VI,Alfabetización en salud y relación con el sistema,Autoinforme,abierto
Diagnóstico y severidad,183,dex-sp_new1,DEX-Sp,Cuestionario Disejecutivo (versión española),Eje V,Síntomas disejecutivos conductuales,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,efeco_new1,EFECO,Escala EFECO para Valorar Funciones Ejecutivas,Eje V,Funciones ejecutivas cotidianas (autoinforme),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,mfe_new1,MFE,Cuestionario de Fallos de Memoria de la Vida Cotidiana,Eje V,Fallos de memoria cotidiana (metamemoria),Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,cfq_new1,CFQ-Fallos,Cognitive Failures Questionnaire (Cuestionario de Fallos Cognitivos),Eje V,Fallos cognitivos cotidianos,Autoinforme,abierto
Diagnóstico y severidad,183,prsexdq_new1,PRSexDQ-SALSEX,Cuestionario de Disfunción Sexual Secundaria al Tratamiento con Psicofármacos,Eje VI,Salud sexual (disfunción inducida por fármacos),Heteroaplicado / Entrevista clínica,abierto
Diagnóstico y severidad,183,sisses_new1,SIS/SES-SF,Sexual Inhibition/Sexual Excitation Scales — Short Form,Eje VI,Salud sexual (propensión a inhibición/excitación),Autoinforme,abierto
Diagnóstico y severidad,183,meqsa_new1,MEQ-SA,Cuestionario de Matutinidad-Vespertinidad de Horne y Östberg (versión española),Eje VI,Cronotipo/ritmo circadiano,Rendimiento neurocognitivo / Tarea de ejecución,abierto
Diagnóstico y severidad,183,ftnd_new1,FTND,Test de Fagerström de Dependencia de la Nicotina,Eje VI,Tabaco,Autoinforme,abierto
Diagnóstico y severidad,183,semcds_new1,SEMCD-S,Spanish Chronic Disease Self-Efficacy Scale,Eje VI,Autoeficacia/autocuidado en enfermedad crónica,Autoinforme,abierto
Diagnóstico y severidad,183,eheals_new1,eHEALS,eHealth Literacy Scale,Eje VI,Alfabetización digital en salud,Autoinforme,abierto
Diagnóstico y severidad,183,cremp_new1,CREM-P,Cuestionario de Relaciones Médico-Paciente (adaptación española del PDRQ),Eje VI,Relación paciente-profesional,Autoinforme,abierto
Diagnóstico y severidad,183,bsq_new1,BSQ,Body Shape Questionnaire (Cuestionario sobre la Forma Corporal),Eje I,Insatisfacción con la forma y figura corporal,Autoinforme,abierto
Diagnóstico y severidad,183,mba_new1,MBA,Measure of Body Apperception (Medida de Percepción del Cuerpo),Eje I,Dependencia de la autoestima respecto a la apariencia/integridad corporal,Autoinforme,abierto
Diagnóstico y severidad,183,ers_147,ERS,Escala para Evaluar el Riesgo Suicida,Eje I,"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",Autoinforme,academico
Diagnóstico y severidad,183,ip_148,IP,Inventario de Padua (Padua Inventory),Eje I,"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",Autoinforme,academico
Diagnóstico y severidad,183,bsl23_149,BSL-23,Borderline Symptom List-23,Eje I,"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",Autoinforme,academico
Diagnóstico y severidad,183,cubi18_150,CUBI-18,"Cuestionario de Urgencia, Busqueda de Sensaciones e Impulsividad-18",Eje I,"Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",Autoinforme,academico
Diagnóstico y severidad,183,egsr_151,EGS-R,Escala de Gravedad de Sintomas del TEPT-Revisada,Eje I,"Gravedad de sintomas de TEPT segun DSM-5 (intrusion, evitacion, cognicion/animo, hiperactivacion, disociacion, disfuncionalidad)",Autoinforme,academico
Diagnóstico y severidad,183,sias_152,SIAS,Escala de Ansiedad ante la Interaccion Social,Eje I,Ansiedad ante la interaccion social directa,Autoinforme,academico
Diagnóstico y severidad,183,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Eje I,Malestar subjetivo y evitacion conductual en situaciones sociales,Autoinforme,academico
Diagnóstico y severidad,183,pss14_155,PSS-14,Escala de Estres Percibido (version de 14 items),Eje I,"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",Autoinforme,academico
Diagnóstico y severidad,183,ras-h_170,RAS-H,Escala de Valoración de la Relación (Relationship Assessment Scale - Hendrick),Eje IV,Satisfacción diádica y calidad de la relación de pareja,Autoinforme,academico
Diagnóstico y severidad,183,adascog_172,ADAS-Cog,Alzheimer's Disease Assessment Scale - Cognitiva,Eje V,Deterioro cognitivo en demencia,Rendimiento neurocognitivo / Tarea de ejecución,academico
Diagnóstico y severidad,183,bprs_173,BPRS,Brief Psychiatric Rating Scale,Eje I,Psicopatología general (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,sops_175,SOPS,Scale of Prodromal Syndromes,Eje I,Síntomas prodrómicos de psicosis,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Eje I,Insight/conciencia de enfermedad,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Eje I,Severidad depresiva (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,gds_179,GDS,"Geriatric Depression Scale (Yesavage, 30 items)",Eje I,Depresión en adultos mayores,Autoinforme,academico
Diagnóstico y severidad,183,cds_180,CDS,Calgary Depression Scale for Schizophrenia,Eje I,Depresión en esquizofrenia,Autoinforme,academico
Diagnóstico y severidad,183,ymrs_182,YMRS,Young Mania Rating Scale,Eje I,Severidad de manía,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Eje I,Severidad de manía (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Eje I,Severidad de manía,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,rfl_185,RFL,Reasons for Living Inventory (Linehan),Eje I,Factores protectores frente al suicidio,Autoinforme,academico
Diagnóstico y severidad,183,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Eje I,Riesgo de violencia autodirigida,Autoinforme,academico
Diagnóstico y severidad,183,eiplutchik_187,EI-Plutchik,Escala de Impulsividad de Plutchik,Eje I,Impulsividad,Autoinforme,academico
Diagnóstico y severidad,183,spin_188,SPIN,Social Phobia Inventory,Eje I,Fobia social,Autoinforme,academico
Diagnóstico y severidad,183,bsps_189,BSPS,Brief Social Phobia Scale (Davidson),Eje I,Fobia social (heteroaplicada),Autoinforme,academico
Diagnóstico y severidad,183,bsa_190,BSA,Brief Scale for Anxiety (Tyrer),Eje I,Ansiedad general (heteroaplicada),Autoinforme,academico
Diagnóstico y severidad,183,dgrp_192,DGRP,Duke Global Rating Scale for PTSD,Eje I,Cambio global en TEPT,Heteroaplicado / Entrevista clínica,academico
Diagnóstico y severidad,183,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Eje I,Psicopatología general (positiva/negativa),Autoinforme,academico
Diagnóstico y severidad,183,bdhi_194,BDHI,Buss-Durkee Hostility Inventory,Eje I,Hostilidad/agresividad,Autoinforme,academico
Diagnóstico y severidad,183,malt_195,MALT,Münchner Alkoholismustest,Eje I,Diagnóstico de alcoholismo,Autoinforme,academico
