acceso_categoria,total_instrumentos,protocolos_disponibles,id_test,sigla_test,nombre_test,eje_test,constructo,protocolo_disponible,regimen_licencia
abierto,163,147,hexaco-pi-r_78,HEXACO-PI-R,Inventario de Personalidad HEXACO Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",SI,Sí (para uso no comercial e investigación)
abierto,163,147,pid-5_80,PID-5,Inventario de Personalidad para el DSM-5,Eje III,"Rasgos Patológicos de Personalidad (Afectividad Negativa, Desapego, Antagonismo, Desinhibición, Psicoticismo)",SI,Sí (Disponible por la APA para uso clínico e investigación)
abierto,163,147,sd3_81,SD3,La Tríada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),SI,Sí
abierto,163,147,sd4_82,SD4,La Tétrada Oscura Corta,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),SI,Sí
abierto,163,147,lts_83,LTS,Escala de la Tríada Luminosa,Eje III,Personalidad Oscura y Luminosa (Tríadas y Tétradas),SI,Sí
abierto,163,147,rses_84,RSES,Escala de Autoestima de Rosenberg,Eje III,Autoestima,SI,Sí
abierto,163,147,gse_86,GSE,Escala de Autoeficacia General,Eje III,Autoeficacia,SI,Sí
abierto,163,147,sccs_87,SCCS,Escala de Claridad del Autoconcepto,Eje III,Claridad del self,NO,Sí
abierto,163,147,eom-eis-2_88,EOM-EIS-2,Medida Objetiva Extendida del Estatus de Identidad del Ego,Eje III,Identidad personal,NO,Sí
abierto,163,147,pvq_89,PVQ,Cuestionario de Valores de Retrato,Eje III,Valores personales,SI,Sí (Para investigación)
abierto,163,147,mlq_90,MLQ,Cuestionario de Significado de la Vida,Eje III,Sentido de vida y Propósito vital,SI,Sí
abierto,163,147,imi_91,IMI,Inventario de Motivación Intrínseca,Eje III,Motivación y Orientación a metas,SI,Sí
abierto,163,147,agq-r_92,AGQ-R,Cuestionario de Metas de Logro Revisado,Eje III,Motivación y Orientación a metas,SI,Sí
abierto,163,147,aceq_93,ACEQ,Cuestionario de Experiencias Adversas en la Infancia,Eje I,Trauma acumulado y Adversidad temprana,SI,Sí (Dominio público / California Surgeon General)
abierto,163,147,meim_95,MEIM,Multigroup Ethnic Identity Measure (Medida Multigrupo de Identidad Étnica),Eje III,Identidad étnica (Exploración y Compromiso/Pertenencia),SI,Sí
abierto,163,147,via_96,VIA,Índice de Aculturación de Vancouver,Eje III,Identidad cultural y Aculturación,NO,Sí
abierto,163,147,ismi_98,ISMI,Escala de Estigma Internalizado de la Enfermedad Mental,Eje III,Estigma y discriminación,SI,Sí
abierto,163,147,eod_99,EOD,Escala de Experiencias de Discriminación,Eje III,Estigma y discriminación,SI,Sí
abierto,163,147,whodas_2.0_100,WHODAS 2.0,Cuestionario para la Evaluación de Discapacidad de la OMS 2.0,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",SI,Sí
abierto,163,147,indice_de_barth_101,BARTHEL,Índice de Barthel,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",SI,Sí
abierto,163,147,escala_de_lawton_102,Escala de Lawton,Escala de Lawton y Brody,Eje IV,"Funcionamiento general, Discapacidad y Actividades de la vida diaria",SI,Sí
abierto,163,147,uwes_106,UWES,Escala de Engagement en el Trabajo de Utrecht,Eje IV,"Desempeño laboral, Burnout, Engagement y Adaptación ocupacional",SI,Sí
abierto,163,147,mos-sss_107,MOS-SSS,Cuestionario de Apoyo Social del Medical Outcomes Study,Eje IV,Apoyo social y Funcionamiento familiar,SI,Sí
abierto,163,147,faces-iv_108,FACES-IV,Escala de Cohesión y Adaptabilidad Familiar,Eje IV,Apoyo social y Funcionamiento familiar,NO,Sí/Restringido (Manuales disponibles por el autor).
abierto,163,147,apgar_109,APGAR,APGAR Familiar,Eje IV,Apoyo social y Funcionamiento familiar,SI,Sí
abierto,163,147,swls_110,SWLS,Escala de Satisfacción con la Vida,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",SI,Sí
abierto,163,147,pwb_111,PWB,Escalas de Bienestar Psicológico,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",SI,Sí
abierto,163,147,fs_112,FS,Escala de Florecimiento,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",SI,Sí
abierto,163,147,sf-36_113,SF-36,Cuestionario de Salud SF-36,Eje IV,Calidad de vida,SI,Sí: protocolo en español publicable (formulario difundido por SECOT) y RAND-36 en inglés de dominio público. SF-36v2® comercial no incluido.
abierto,163,147,whoqol-bref_114,WHOQOL-BREF,Cuestionario de Calidad de Vida de la OMS - Versión Breve,Eje IV,Calidad de vida,SI,Sí (Disponible por OMS)
abierto,163,147,lot-r_116,LOT-R,Test de Orientación Vital Revisado (Optimismo),Eje III,"Resiliencia, Afrontamiento y Fortalezas",SI,Sí
abierto,163,147,via-is_118,VIA-IS,Inventario VIA de Fortalezas Personales,Eje IV,"Resiliencia, Afrontamiento y Fortalezas",NO,Sí (Online vía VIA Institute on Character)
abierto,163,147,tmt_122,TMT,Test del Trazo (Trail Making Test),Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",SI,"Sí (Dominio público para uso clínico y de investigación, los baremos sí pueden ser comerciales)"
abierto,163,147,figura_de_rey_124,Figura de Rey,Test de Copia de una Figura Compleja,Eje V,"Memoria (Trabajo, Episódica, Semántica, Visual, Aprendizaje)",SI,Sí (Lámina y criterios de dominio público académico)
abierto,163,147,stroop_test_126,Stroop Test,Test de Colores y Palabras,Eje V,Funciones Ejecutivas,SI,Sí (Dominio público científico Stroop 1935 / Golden 1978)
abierto,163,147,igt_127,IGT,Iowa Gambling Task,Eje V,Funciones Ejecutivas,SI,Sí (Software disponible gratuitamente en algunas plataformas académicas como PEBL).
abierto,163,147,ifs_129,IFS,INECO Frontal Screening,Eje V,Funciones Ejecutivas,SI,Sí (Disponible en literatura científica)
abierto,163,147,tfv_131,TFV,Test de Fluidez Verbal (FAS y Animales),Eje V,"Comprensión, Expresión y Fluidez Verbal",SI,"Sí (La tarea es de dominio público, sujeta a disponibilidad de baremos locales)."
abierto,163,147,rmet_132,RMET,Test de Leer la Mente en los Ojos,Eje V,Cognición Social e Interocepción,NO,Sí (Disponible por el Autism Research Centre)
abierto,163,147,maia_133,MAIA,Evaluación Multidimensional de la Conciencia Interoceptiva,Eje II,Cognición Social e Interocepción,SI,Sí
abierto,163,147,faux_pas_test_134,Faux Pas Test,Test de Meteduras de Pata,Eje V,Cognición Social e Interocepción,NO,Sí
abierto,163,147,psqi_135,PSQI,Índice de Calidad de Sueño de Pittsburgh,Eje VI,Sueño y ritmos circadianos,SI,Sí (Licencia abierta para uso clínico y de investigación no comercial)
abierto,163,147,isi_136,ISI,Índice de Gravedad del Insomnio,Eje VI,Sueño y ritmos circadianos,SI,Sí (Uso clínico habitual)
abierto,163,147,ess_137,ESS,Escala de Somnolencia de Epworth,Eje VI,Sueño y ritmos circadianos,SI,Sí
abierto,163,147,pcs_139,PCS,Escala de Catastrofización del Dolor,Eje VI,"Dolor, fatiga y síntomas somáticos",NO,Sí
abierto,163,147,fss_140,FSS,Escala de Gravedad de la Fatiga,Eje VI,"Dolor, fatiga y síntomas somáticos",SI,"Sí — Duarte et al. (2019), Educación Médica, acceso abierto CC BY-NC-ND."
abierto,163,147,ipaq_141,IPAQ,Cuestionario Internacional de Actividad Física,Eje VI,Conductas de salud,SI,Sí
abierto,163,147,mgl_o_mmas-4_142,MGL o MMAS-4,Cuestionario de Adherencia a la Medicación de Morisky-Green-Levine,Eje VI,Conductas de salud,NO,Sí (La versión original de 4 ítems; la de 8 ítems requiere licencia).
abierto,163,147,bipq_143,BIPQ,Cuestionario Breve de Percepción de Enfermedad (incluye IPQ-R como versión anidada),Eje VI,Enfermedad médica y afrontamiento,SI,Sí
abierto,163,147,hls-eu-q16_145,HLS-EU-Q16,Cuestionario Europeo de Alfabetización en Salud - Versión Corta,Eje VI,Alfabetización en salud y relación con el sistema,SI,Sí
abierto,163,147,sahlsa-50_146,SAHLSA-50,Evaluación Breve de Alfabetización en Salud para Adultos de Habla Hispana,Eje VI,Alfabetización en salud y relación con el sistema,SI,Sí
abierto,163,147,dex-sp_new1,DEX-Sp,Cuestionario Disejecutivo (versión española),Eje V,Síntomas disejecutivos conductuales,SI,Sí (uso académico/investigación)
abierto,163,147,efeco_new1,EFECO,Escala EFECO para Valorar Funciones Ejecutivas,Eje V,Funciones ejecutivas cotidianas (autoinforme),SI,Sí
abierto,163,147,mfe_new1,MFE,Cuestionario de Fallos de Memoria de la Vida Cotidiana,Eje V,Fallos de memoria cotidiana (metamemoria),SI,Sí
abierto,163,147,cfq_new1,CFQ-Fallos,Cognitive Failures Questionnaire (Cuestionario de Fallos Cognitivos),Eje V,Fallos cognitivos cotidianos,SI,Sí
abierto,163,147,prsexdq_new1,PRSexDQ-SALSEX,Cuestionario de Disfunción Sexual Secundaria al Tratamiento con Psicofármacos,Eje VI,Salud sexual (disfunción inducida por fármacos),SI,Sí
abierto,163,147,sisses_new1,SIS/SES-SF,Sexual Inhibition/Sexual Excitation Scales — Short Form,Eje VI,Salud sexual (propensión a inhibición/excitación),SI,Sí
abierto,163,147,meqsa_new1,MEQ-SA,Cuestionario de Matutinidad-Vespertinidad de Horne y Östberg (versión española),Eje VI,Cronotipo/ritmo circadiano,SI,Sí (uso no comercial)
abierto,163,147,stopbang_new1,STOP-Bang,Cuestionario STOP-Bang,Eje VI,Riesgo de apnea del sueño,SI,Sí
abierto,163,147,csi_new1,CSI,Inventario de Sensibilización Central,Eje VI,Sensibilización central y carga de síntomas,SI,Sí
abierto,163,147,ftnd_new1,FTND,Test de Fagerström de Dependencia de la Nicotina,Eje VI,Tabaco,SI,Sí
abierto,163,147,semcds_new1,SEMCD-S,Spanish Chronic Disease Self-Efficacy Scale,Eje VI,Autoeficacia/autocuidado en enfermedad crónica,SI,"Sí (libre uso, Stanford Self-Management Resource Center)"
abierto,163,147,eheals_new1,eHEALS,eHealth Literacy Scale,Eje VI,Alfabetización digital en salud,SI,"Sí (CC-BY, original en inglés)"
abierto,163,147,cremp_new1,CREM-P,Cuestionario de Relaciones Médico-Paciente (adaptación española del PDRQ),Eje VI,Relación paciente-profesional,SI,Sí (acceso abierto)
abierto,163,147,bsq_new1,BSQ,Body Shape Questionnaire (Cuestionario sobre la Forma Corporal),Eje I,Insatisfacción con la forma y figura corporal,SI,Sí
abierto,163,147,mba_new1,MBA,Measure of Body Apperception (Medida de Percepción del Cuerpo),Eje I,Dependencia de la autoestima respecto a la apariencia/integridad corporal,SI,Sí
abierto,163,147,ersq_new1,ERSQ,Emotion-Regulation Skills Questionnaire (Cuestionario de Habilidades de Regulación Emocional),Eje II,Habilidades específicas de regulación emocional (modelo ACE),SI,Sí
abierto,163,147,erq_158,ERQ,Emotion Regulation Questionnaire - Cuestionario de Autorregulacion Emocional,Eje II,"Regulacion emocional (reevaluacion cognitiva, supresion expresiva)",SI,Si (traduccion autorizada por autores originales)
abierto,163,147,cope48_167,COPE-48,Versión española del COPE-48 (adaptación clínica del COPE Inventory),Eje II,"Afrontamiento (coping), 9 escalas clínicas",SI,Sí
abierto,163,147,ffmq-sf_168,FFMQ-SF,Cuestionario de Cinco Facetas de Mindfulness - Forma Corta,Eje II,"Mindfulness y regulacion emocional (5 facetas: observar, describir, actuar con consciencia, no juzgar, no reactividad)",SI,"Si (Open Access, CC BY 4.0)"
abierto,163,147,scs_169,SCS,Escala de Autocompasión (Self-Compassion Scale - Formas de 26 y 12 ítems),Eje II,Autocompasión y regulación afectiva (3 polaridades / 6 subescalas),SI,"Si (Open Access, CC BY 2.0)"
abierto,163,147,eat-40_new,EAT-40,Test de Actitudes hacia la Alimentación (40 ítems),Eje I,Trastornos de la conducta alimentaria,SI,Sí (Investigación y clínica sin fines de lucro)
abierto,163,147,eat-26_new,EAT-26,Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),Eje I,Trastornos de la conducta alimentaria,SI,Sí (Libre uso clínico e investigación)
abierto,163,147,eat-40-sergas_new,EAT-40-SERGAS,Test de Actitudes hacia la Alimentación (Formato SERGAS),Eje I,Trastornos de la conducta alimentaria,SI,Sí (Sanitario público SNS)
abierto,163,147,cage_new,CAGE,Cuestionario CAGE para Detección de Alcoholismo,Eje I,Consumo de alcohol y adicciones,SI,Sí (Dominio público)
abierto,163,147,abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Eje I,Agitación psicomotriz e impulsividad aguda,SI,Sí (Libre asistencial / Ohio State Univ.)
abierto,163,147,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Eje I,Psicosis y curso pronóstico,SI,Sí (Dominio público OMS)
abierto,163,147,sds_new,SDS,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),Eje I,Depresión y estado de ánimo,SI,Sí (Dominio público)
abierto,163,147,sis_new,SIS,Escala de Intencionalidad Suicida de Beck (SIS),Eje I,Riesgo y conducta suicida,SI,Sí (Uso clínico y hospitalario)
abierto,163,147,rs-plutchik_new,RS-Plutchik,Escala de Riesgo Suicida de Plutchik,Eje I,Riesgo y conducta suicida,SI,Sí (Académico y clínico)
abierto,163,147,bsds_new,BSDS,Escala Diagnóstica del Espectro Bipolar de Ghaemi,Eje I,Trastorno bipolar y ciclotimia,SI,Sí (Libre uso asistencial)
abierto,163,147,hars_new,HARS,Escala de Hamilton para la Ansiedad (HAM-A),Eje I,Ansiedad psíquica y somática,SI,Sí (Dominio público)
abierto,163,147,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Eje I,Pánico y agorafobia,SI,Sí (Académico e investigación clínica)
abierto,163,147,diario-panico_new,Diario-Panico,Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),Eje I,Crisis de angustia y pánico,SI,Sí (Libre uso clínico)
abierto,163,147,lsas_new,LSAS,Escala de Ansiedad Social de Liebowitz (LSAS),Eje I,Fobia social y ansiedad de desempeño,SI,Sí (Libre investigación / Clínica)
abierto,163,147,carroll-tag_new,Carroll-TAG,Escala de Detección del TAG de Carroll y Davidson,Eje I,Ansiedad generalizada,SI,Sí (Libre investigación)
abierto,163,147,asq-15_new,ASQ-15,Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),Eje I,Cribado multitrastorno de ansiedad,SI,Sí (Max Planck Institute)
abierto,163,147,empc_new,EMPC,Escala Motivacional de Pensamiento Crítico (EMPC),Eje II,Estilos de pensamiento y metacognición,SI,Sí (Libre académico)
abierto,163,147,tsi_new,TSI,Inventario de Estilos de Pensamiento de Sternberg (TSI),Eje II,Estilos cognitivos y autogobierno mental,SI,Sí (Uso clínico y académico)
abierto,163,147,sseit_new,SSEIT,Escala de Inteligencia Emocional de Schutte (SSEIT),Eje II,Inteligencia emocional autopercibida,SI,Sí (Dominio académico libre)
abierto,163,147,iss_new,ISS,Inventario de Situaciones Sociales (ISS),Eje II,Afrontamiento interpersonal y asertividad,SI,Sí (Libre académico)
abierto,163,147,hsq-24_new,HSQ-24,Cuestionario de Estilos de Humor (HSQ-24),Eje II,Regulación afectiva y mecanismos de humor,SI,Sí (Libre académico)
abierto,163,147,crea-24_new,CREA-24,Escala de Autopercepción de Creatividad (CREA-24),Eje III,Autoconcepto y autoeficacia creativa,SI,Sí (Libre educativo y clínico)
abierto,163,147,sss-v_new,SSS-V,Escala de Búsqueda de Sensaciones de Zuckerman (Forma V),Eje III,Rasgo disposicional de personalidad,SI,Sí (Libre investigación)
abierto,163,147,katz_new,KATZ,Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),Eje IV,Autonomía funcional y dependencia biológica,SI,Sí (Dominio público)
abierto,163,147,swbs_new,SWBS,Escala de Bienestar Social de Keyes,Eje IV,Bienestar social y ajuste comunitario,SI,Sí (Libre académico)
abierto,163,147,cgi_new,CGI,Escala de Impresión Clínica Global de Guy (CGI),Eje IV,Funcionamiento global y severidad transdiagnóstica,SI,Sí (Dominio público NIMH)
abierto,163,147,q-les-q_new,Q-LES-Q,Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott,Eje IV,Calidad de vida y satisfacción vital,SI,Sí (Uso académico y clínico)
abierto,163,147,his_new,HIS,Escala de Isquemia de Hachinski (HIS),Eje V,Diagnóstico diferencial de demencias,SI,Sí (Dominio público)
abierto,163,147,cfss_new,CFSS,Escala de Autoevaluación del Funcionamiento Cognitivo (CFSS),Eje V,Quejas cognitivas subjetivas cotidianas,SI,Sí (Libre clínico)
abierto,163,147,gsqs_new,GSQS,Escala Groningen de la Calidad del Sueño (GSQS),Eje VI,Calidad de descanso e insomnio agudo,SI,Sí (Libre académico Univ. Groningen)
abierto,163,147,othmer-desouza_new,Othmer-DeSouza,Test de Detección de Somatización de Othmer y DeSouza,Eje VI,Síntomas somatomorfos y somatización,SI,Sí (Libre clínico)
abierto,163,147,laxitud-hdm_new,Laxitud-HdM,Criterios de Laxitud Articular del Hospital del Mar (Bulbena),Eje VI,Marcador somático de hiperlaxitud y pánico,SI,Sí (Libre científico IMIM Barcelona)
abierto,163,147,bars_new,BARS,Escala de Acatisia de Barnes (BARS),Eje VI,Efectos extrapiramidales y farmacovigilancia,SI,Sí (Libre práctica médica)
abierto,163,147,aims_new,AIMS,Escala de Movimientos Involuntarios Anormales de Guy (AIMS),Eje VI,Farmacovigilancia y discinesia tardía,SI,Sí (Dominio público NIMH)
academico,71,69,tci-r_79,TCI-R,Inventario de Temperamento y Carácter Revisado,Eje III,"Rasgos de Personalidad (Neuroticismo, Extraversión, Apertura, Amabilidad, Responsabilidad)",NO,Uso bajo licencia/permiso
academico,71,69,chte_103,CHTE,Cuestionario de Hábitos y Técnicas de Estudio,Eje IV,"Rendimiento académico, Hábitos de estudio y Adaptación escolar",NO,No
academico,71,69,moca_120,MoCA,Evaluación Cognitiva de Montreal,Eje V,Cribado Cognitivo Global (Estado Mental),SI,"Semilibre (Uso comercial/oficial requiere certificación y pago en la actualidad, pero existen versiones de investigación)."
academico,71,69,ers_147,ERS,Escala para Evaluar el Riesgo Suicida,Eje I,"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",SI,Si
academico,71,69,ip_148,IP,Inventario de Padua (Padua Inventory),Eje I,"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",SI,Si
academico,71,69,bsl23_149,BSL-23,Borderline Symptom List-23,Eje I,"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",SI,Si
academico,71,69,cubi18_150,CUBI-18,"Cuestionario de Urgencia, Busqueda de Sensaciones e Impulsividad-18",Eje I,"Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",SI,Si
academico,71,69,egsr_151,EGS-R,Escala de Gravedad de Sintomas del TEPT-Revisada,Eje I,"Gravedad de sintomas de TEPT segun DSM-5 (intrusion, evitacion, cognicion/animo, hiperactivacion, disociacion, disfuncionalidad)",SI,Si
academico,71,69,sias_152,SIAS,Escala de Ansiedad ante la Interaccion Social,Eje I,Ansiedad ante la interaccion social directa,SI,Si
academico,71,69,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Eje I,Malestar subjetivo y evitacion conductual en situaciones sociales,SI,Si
academico,71,69,pss14_155,PSS-14,Escala de Estres Percibido (version de 14 items),Eje I,"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",SI,Si
