eje_codigo,eje_numero,eje_nombre,total_instrumentos,id_test,sigla_test,nombre_test,constructo,tema,tipo_instrumento,acceso,protocolo_disponible
Eje I,1,"Problemas, síntomas y riesgo",109,bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,Depresión y anhedonia,Depresión y estado de ánimo,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,Depresión y anhedonia,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,Depresión y anhedonia,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,Depresión y anhedonia,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Depresión y anhedonia,Depresión y estado de ánimo,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,y-bocs_18,Y-BOCS,Escala de Obsesiones y Compulsiones de Yale-Brown,Obsesiones y compulsiones,Obsesiones y compulsiones,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,oci-r_19,OCI-R,Inventario Obsesivo-Compulsivo Revisado,Obsesiones y compulsiones,Obsesiones y compulsiones,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,pi-wsur_20,PI-WSUR,Inventario de Padua Revisado - WSU,Obsesiones y compulsiones,Obsesiones y compulsiones,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,docs_21,DOCS,Escala Dimensional Obsesivo-Compulsiva,Obsesiones y compulsiones,Obsesiones y compulsiones,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,phq-15_22,PHQ-15,Cuestionario de Salud del Paciente - 15,Somatización y ansiedad por la salud,Dolor y síntomas somáticos,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,wi-7_23,WI,Índice de Whiteley,Somatización y ansiedad por la salud,Dolor y síntomas somáticos,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,shai_24,SHAI,Inventario Corto de Ansiedad por la Salud,Somatización y ansiedad por la salud,Dolor y síntomas somáticos,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,scl-90-r_25,SCL-90-R,Inventario de Síntomas SCL-90-R (Subescala Somatización),Somatización y ansiedad por la salud,Dolor y síntomas somáticos,Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,bis-11_26,BIS-11,Escala de Impulsividad de Barratt,Impulsividad,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,upps-p_27,UPPS-P,Escala de Comportamiento Impulsivo UPPS-P,Impulsividad,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dii_28,DII,Inventario de Impulsividad de Dickman,Impulsividad,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,aq_29,AQ,Cuestionario de Agresión,Agresividad e ira,"Agresividad, ira y violencia",Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Agresividad e ira,"Agresividad, ira y violencia",Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Agresividad e ira,"Agresividad, ira y violencia",Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,scid-5-pd_34,SCID-5-PD,SCID-5-PD (Trastorno de la Personalidad Antisocial),Conducta antisocial,"Agresividad, ira y violencia",Heteroaplicado / Entrevista clínica,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,cbcl_35,CBCL,Inventario de Comportamiento Infantil (Subescalas Externalizantes),Conducta disruptiva,Impulsividad y conducta disruptiva,Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,sdq_36,SDQ,Cuestionario de Capacidades y Dificultades,Conducta disruptiva,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dbd_37,DBD,Escala de Trastornos de Comportamiento Perturbador,Conducta disruptiva,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,assist_38,ASSIST,"Prueba de Detección de Consumo de Alcohol, Tabaco y Sustancias",Uso problemático de sustancias,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,audit_39,AUDIT,Prueba de Identificación de Trastornos Relacionados con el Alcohol,Uso problemático de sustancias,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dast-10_40,DAST-10,Prueba de Detección de Abuso de Drogas,Uso problemático de sustancias,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,iat_41,IAT,Test de Adicción a Internet,Adicciones conductuales,Adicciones conductuales,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sogs_42,SOGS,Prueba de Detección de Juego Patológico de South Oaks,Adicciones conductuales,Adicciones conductuales,Observacional / Registro conductual,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,pdi-21_43,PDI-21,Inventario de Delirios de Peters,Ideación delirante,Psicosis y experiencias delirantes,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,cape-42_44,CAPE-42,Evaluación Comunitaria de Experiencias Psíquicas,Experiencias perceptivas inusuales,Psicosis y experiencias delirantes,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,panss_45,PANSS,Escala de los Síndromes Positivo y Negativo,Desorganización cognitiva y conductual,Psicosis y experiencias delirantes,Heteroaplicado / Entrevista clínica,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,c-ssrs_46,C-SSRS,Escala Columbia para Evaluar el Riesgo de Suicidio,Ideación y Conducta suicida,Suicidio y autolesión,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bss_47,BSS,Escala de Ideación Suicida de Beck,Ideación y Conducta suicida,Suicidio y autolesión,Autoinforme,comercial,SI
Eje I,1,"Problemas, síntomas y riesgo",109,isas_48,ISAS,Inventario de Declaraciones sobre Autolesiones,Autolesiones no suicidas,Suicidio y autolesión,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Riesgo de violencia,"Agresividad, ira y violencia",Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,jvq_50,JVQ,Cuestionario de Victimización Juvenil,Vulnerabilidad y victimización,Trauma y estrés postraumático,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,aceq_93,ACEQ,Cuestionario de Experiencias Adversas en la Infancia,Trauma acumulado y Adversidad temprana,Trauma y estrés postraumático,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ctq-sf_94,CTQ-SF,Cuestionario de Trauma Infantil - Versión Breve,Trauma acumulado y Adversidad temprana,Trauma y estrés postraumático,Autoinforme,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,bsq_new1,BSQ,Body Shape Questionnaire (Cuestionario sobre la Forma Corporal),Insatisfacción con la forma y figura corporal,Conducta alimentaria e imagen corporal,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,mba_new1,MBA,Measure of Body Apperception (Medida de Percepción del Cuerpo),Dependencia de la autoestima respecto a la apariencia/integridad corporal,Conducta alimentaria e imagen corporal,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ers_147,ERS,Escala para Evaluar el Riesgo Suicida,"Riesgo suicida (desesperanza, ideacion/planeacion, aislamiento social, apoyo familiar)",Suicidio y autolesión,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ip_148,IP,Inventario de Padua (Padua Inventory),"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",Obsesiones y compulsiones,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bsl23_149,BSL-23,Borderline Symptom List-23,"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",Personalidad patológica,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,cubi18_150,CUBI-18,"Cuestionario de Urgencia, Busqueda de Sensaciones e Impulsividad-18","Impulsividad (urgencia compulsiva, busqueda de sensaciones, imprevision)",Impulsividad y conducta disruptiva,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,egsr_151,EGS-R,Escala de Gravedad de Sintomas del TEPT-Revisada,"Gravedad de sintomas de TEPT segun DSM-5 (intrusion, evitacion, cognicion/animo, hiperactivacion, disociacion, disfuncionalidad)",Trauma y estrés postraumático,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sias_152,SIAS,Escala de Ansiedad ante la Interaccion Social,Ansiedad ante la interaccion social directa,Ansiedad y fobia,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Malestar subjetivo y evitacion conductual en situaciones sociales,Ansiedad y fobia,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,pss14_155,PSS-14,Escala de Estres Percibido (version de 14 items),"Estres psicologico percibido (incontrolabilidad, autoeficacia/afrontamiento)",Estrés y estrés percibido,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bprs_173,BPRS,Brief Psychiatric Rating Scale,Psicopatología general (heteroaplicada),Psicosis y experiencias delirantes,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sips_174,SIPS,Entrevista Estructurada para Síndromes Prodrómicos,Riesgo de psicosis,Psicosis y experiencias delirantes,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sops_175,SOPS,Scale of Prodromal Syndromes,Síntomas prodrómicos de psicosis,Psicosis y experiencias delirantes,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sumd_176,SUMD,Scale to Assess Unawareness of Mental Disorder,Insight/conciencia de enfermedad,Psicosis y experiencias delirantes,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,oas_177,OAS,Overt Aggression Scale,Agresividad manifiesta observada,"Agresividad, ira y violencia",Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,madrs_178,MADRS,Montgomery-Asberg Depression Rating Scale,Severidad depresiva (heteroaplicada),Depresión y estado de ánimo,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,gds_179,GDS,"Geriatric Depression Scale (Yesavage, 30 items)",Depresión en adultos mayores,Depresión y estado de ánimo,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,cds_180,CDS,Calgary Depression Scale for Schizophrenia,Depresión en esquizofrenia,Depresión y estado de ánimo,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,mdq_181,MDQ,Mood Disorder Questionnaire,Cribado de espectro bipolar,Bipolaridad y manía,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ymrs_182,YMRS,Young Mania Rating Scale,Severidad de manía,Bipolaridad y manía,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Severidad de manía (heteroaplicada),Bipolaridad y manía,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Severidad de manía,Bipolaridad y manía,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,rfl_185,RFL,Reasons for Living Inventory (Linehan),Factores protectores frente al suicidio,Suicidio y autolesión,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Riesgo de violencia autodirigida,"Agresividad, ira y violencia",Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,eiplutchik_187,EI-Plutchik,Escala de Impulsividad de Plutchik,Impulsividad,Impulsividad y conducta disruptiva,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,spin_188,SPIN,Social Phobia Inventory,Fobia social,Ansiedad y fobia,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bsps_189,BSPS,Brief Social Phobia Scale (Davidson),Fobia social (heteroaplicada),Ansiedad y fobia,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bsa_190,BSA,Brief Scale for Anxiety (Tyrer),Ansiedad general (heteroaplicada),Ansiedad y fobia,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,tq_191,TQ,Trauma Questionnaire,Exposición a eventos traumáticos,Trauma y estrés postraumático,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dgrp_192,DGRP,Duke Global Rating Scale for PTSD,Cambio global en TEPT,Trauma y estrés postraumático,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,dai_193,DAI,¡OJO! Archivo etiquetado DAI contiene la PANSS completa,Psicopatología general (positiva/negativa),Psicosis y experiencias delirantes,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bdhi_194,BDHI,Buss-Durkee Hostility Inventory,Hostilidad/agresividad,"Agresividad, ira y violencia",Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,malt_195,MALT,Münchner Alkoholismustest,Diagnóstico de alcoholismo,Sustancias y alcoholismo,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,isca_196,ISCA,Interrogatorio Sistematizado de Consumos Alcohólicos,Consumo de alcohol,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,europasi_197,EuropASI,Índice Europeo de Gravedad de la Adicción,Gravedad multidimensional de adicción,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sadq_198,SADQ,Severity of Alcohol Dependence Questionnaire,Severidad de dependencia alcohólica,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,eida_199,EIDA,Escala de la Intensidad de la Dependencia al Alcohol,Dependencia alcohólica,Sustancias y alcoholismo,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,ocds_200,OCDS,Obsessive Compulsive Drinking Scale,Craving/compulsión por alcohol,Sustancias y alcoholismo,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,edi2_201,EDI-2,Inventario de Trastornos de la Conducta Alimentaria-2,Conducta alimentaria,Conducta alimentaria e imagen corporal,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Síntomas bulímicos,Conducta alimentaria e imagen corporal,Autoinforme,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,top-8_220,TOP-8,Escala de 8 ítems para los Resultados del Tratamiento del TEPT,Respuesta al tratamiento en TEPT,Trauma y estrés postraumático,Heteroaplicado / Entrevista clínica,academico,SI
Eje I,1,"Problemas, síntomas y riesgo",109,eat-40_new,EAT-40,Test de Actitudes hacia la Alimentación (40 ítems),Trastornos de la conducta alimentaria,Trastornos de la conducta alimentaria,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,eat-26_new,EAT-26,Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),Trastornos de la conducta alimentaria,Trastornos de la conducta alimentaria,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,eat-40-sergas_new,EAT-40-SERGAS,Test de Actitudes hacia la Alimentación (Formato SERGAS),Trastornos de la conducta alimentaria,Trastornos de la conducta alimentaria,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,cage_new,CAGE,Cuestionario CAGE para Detección de Alcoholismo,Consumo de alcohol y adicciones,Consumo de alcohol y adicciones,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Agitación psicomotriz e impulsividad aguda,Agitación psicomotriz e impulsividad aguda,Observacional / Registro conductual,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,scps_new,SCPS,Escala Pronóstica para la Esquizofrenia de Strauss y Carpenter,Psicosis y curso pronóstico,Psicosis y curso pronóstico,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sds_new,SDS,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS),Depresión y estado de ánimo,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,sis_new,SIS,Escala de Intencionalidad Suicida de Beck (SIS),Riesgo y conducta suicida,Riesgo y conducta suicida,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,rs-plutchik_new,RS-Plutchik,Escala de Riesgo Suicida de Plutchik,Riesgo y conducta suicida,Riesgo y conducta suicida,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,bsds_new,BSDS,Escala Diagnóstica del Espectro Bipolar de Ghaemi,Trastorno bipolar y ciclotimia,Trastorno bipolar y ciclotimia,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,hars_new,HARS,Escala de Hamilton para la Ansiedad (HAM-A),Ansiedad psíquica y somática,Ansiedad psíquica y somática,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,pas_new,PAS,Escala de Pánico y Agorafobia de Bandelow (PAS),Pánico y agorafobia,Pánico y agorafobia,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,diario-panico_new,Diario-Panico,Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),Crisis de angustia y pánico,Crisis de angustia y pánico,Observacional / Registro conductual,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,lsas_new,LSAS,Escala de Ansiedad Social de Liebowitz (LSAS),Fobia social y ansiedad de desempeño,Fobia social y ansiedad de desempeño,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,carroll-tag_new,Carroll-TAG,Escala de Detección del TAG de Carroll y Davidson,Ansiedad generalizada,Ansiedad generalizada,Heteroaplicado / Entrevista clínica,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,asq-15_new,ASQ-15,Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),Cribado multitrastorno de ansiedad,Cribado multitrastorno de ansiedad,Autoinforme,abierto,SI
Eje I,1,"Problemas, síntomas y riesgo",109,mini_new,MINI,Entrevista Neuropsiquiátrica Internacional (MINI 5.0.0),Evaluación diagnóstica multiaxial DSM-IV/CIE-10,Evaluación diagnóstica multiaxial DSM-IV/CIE-10,Heteroaplicado / Entrevista clínica,comercial,NO
Eje I,1,"Problemas, síntomas y riesgo",109,bhs_new,BHS,Escala de Desesperanza de Beck (BHS),Desesperanza y riesgo suicida,Desesperanza y riesgo suicida,Autoinforme,comercial,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,rrs_51,RRS,Escala de Respuestas Rumiativas,Rumiación,Esquemas y procesos cognitivos,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Preocupación crónica,Ansiedad y fobia,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Intolerancia a la incertidumbre,Ansiedad y fobia,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,aaq-ii_54,AAQ-II,Cuestionario de Aceptación y Acción II,Rigidez y Flexibilidad cognitiva,Flexibilidad psicológica y mindfulness,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,cfi_55,CFI,Inventario de Flexibilidad Cognitiva,Rigidez y Flexibilidad cognitiva,Flexibilidad psicológica y mindfulness,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,cfq_56,CFQ,Cuestionario de Fusión Cognitiva,Fusión cognitiva,Flexibilidad psicológica y mindfulness,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,mcq-30_57,MCQ-30,Cuestionario de Metacogniciones,Metacogniciones disfuncionales,Esquemas y procesos cognitivos,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,ysq-s3_58,YSQ-S3,Cuestionario de Esquemas de Young,Esquemas maladaptativos,Esquemas y procesos cognitivos,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,ders_59,DERS,Escala de Dificultades en la Regulación Emocional,Regulación y Desregulación emocional,Regulación emocional,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,cerq_60,CERQ,Cuestionario de Regulación Cognitiva de las Emociones,Regulación y Desregulación emocional,Regulación emocional,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,leas_61,LEAS,Escala de Niveles de Conciencia Emocional,Conciencia emocional,Regulación emocional,Rendimiento neurocognitivo / Tarea de ejecución,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,tas-20_62,TAS-20,Escala de Alexitimia de Toronto,Claridad emocional y Alexitimia,Regulación emocional,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,meaq_63,MEAQ,Cuestionario Multidimensional de Evitación Experiencial,Evitación experiencial,Flexibilidad psicológica y mindfulness,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,bads_64,BADS,Escala de Activación Conductual para la Depresión,Activación y Evitación conductual,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Activación y Evitación conductual,Depresión y estado de ánimo,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,brief_cope_66,Brief COPE,Inventario Breve de Afrontamiento,Exposición y afrontamiento,Afrontamiento y resiliencia,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,bis_68,BIS/BAS,Escalas del Sistema de Inhibición y Aproximación Conductual,Búsqueda de recompensa,Impulsividad y conducta disruptiva,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,ecr-r_69,ECR-R,Experiencias en Relaciones Cercanas - Revisado,Apego,Apego y relaciones interpersonales,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,idi_70,IDI,Inventario de Dependencia Interpersonal,Dependencia interpersonal,Apego y relaciones interpersonales,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Sensibilidad al rechazo,Apego y relaciones interpersonales,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,iip-32_72,IIP-32,Inventario de Problemas Interpersonales (Versión Breve),Comunicación interpersonal y Asertividad,Apego y relaciones interpersonales,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,ras_73,RAS,Escala de Asertividad de Rathus,Comunicación interpersonal y Asertividad,Apego y relaciones interpersonales,Autoinforme,abierto,NO
Eje II,2,Procesos psicológicos y mantenimiento,46,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Soledad y aislamiento social,Apoyo social y familia,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Soledad y aislamiento social,Apoyo social y familia,Autoinforme,abierto,SI
Eje II,2,Procesos psicológicos y mantenimiento,46,maia_133,MAIA,Evaluación Multidimensional de la Conciencia Interoceptiva,Cognición Social e Interocepción,Cognición social,Autoinforme,abierto,SI
