family_id,resumen,piezas_usadas,origen,revisar
meaq_63,Cuestionario de autoinforme · 62 ítems · Likert de 6 puntos · 6 dimensiones,4,regla,0
bads_64,Cuestionario de autoinforme · 25 ítems · Likert de 7 puntos · 4 dimensiones,4,regla,0
eros_65,Cuestionario de autoinforme · 10 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
brief_cope_66,Cuestionario de autoinforme · 24 ítems · Likert de 4 puntos · 14 estrategias · Autoinforme referido a una sit,5,regla,0
bis_68,Cuestionario de autoinforme · 24 ítems · Likert de 4 puntos · 3 dimensiones,4,regla,0
ecr-r_69,Cuestionario de autoinforme · 36 ítems · Likert de 7 puntos · 2 dimensiones,4,regla,0
idi_70,Cuestionario de autoinforme · 48 ítems · Likert de 4 puntos · 3 dimensiones,4,regla,0
rsq_71,Cuestionario de autoinforme · 27 ítems · Likert de 6 puntos · Unidimensional · No cotejable para RSQ-sensibil,5,regla,0
iip-32_72,Cuestionario de autoinforme · 32 ítems · Likert de 5 puntos · 8 dimensiones,4,regla,0
ras_73,Cuestionario de autoinforme · 30 ítems · Likert de 6 puntos · Unidimensional,4,regla,0
ucla-r_74,Cuestionario de autoinforme · 20 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
djgls_75,"Cuestionario de autoinforme / · 11 ítems · Escala ordinal de 3 puntos, · 2 dimensiones · 5 min · Individual",6,regla,0
neo-pi-r_76,Cuestionario de autoinforme · 240 ítems · Likert de 5 puntos · 5 dimensiones,4,regla,0
bfi-2_77,Autoinforme · 60 ítems · Likert de 5 puntos · Papel y lápiz o digital,4,regla,0
hexaco-pi-r_78,Cuestionario de autoinforme y · 60 ítems · Likert de 5 puntos · 6 dimensiones,4,regla,0
tci-r_79,Cuestionario de autoinforme · 240 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
pid-5_80,Cuestionario de autoinforme y · 220 ítems · Likert de 4 puntos · 5 dimensiones,4,regla,0
sd3_81,Cuestionario de autoinforme · 27 ítems · Likert de 5 puntos · 3 dimensiones,4,regla,0
sd4_82,Cuestionario de autoinforme · 28 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
lts_83,"Autoinforme · 12 ítems · Likert de 6 puntos · 5 min · Papel y lápiz o digital, autoa",5,regla,0
rses_84,Cuestionario de autoinforme · 10 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
af-5_85,Cuestionario de autoinforme · 30 ítems · Escala de 1 a 99. En algunas · 5 dimensiones,4,regla,0
gse_86,Cuestionario de autoinforme · 10 ítems · Likert de 4 puntos · Unidimensional,4,regla,0
sccs_87,Cuestionario de autoinforme · 12 ítems · Likert de 5 puntos · Unidimensional,4,regla,0
eom-eis-2_88,Cuestionario de autoinforme · 64 ítems · Likert de 6 puntos · 2 dimensiones,4,regla,0
pvq_89,Cuestionario de autoinforme · 40 ítems · Likert de 6 puntos · 10 valores universales básicos,4,regla,0
mlq_90,Cuestionario de autoinforme · 10 ítems · Likert de 7 puntos · 2 dimensiones,4,regla,0
imi_91,Cuestionario de autoinforme · 45 ítems · Likert de 7 puntos · Habitualmente 5 o 6,4,regla,0
agq-r_92,Cuestionario de autoinforme · 12 ítems · Likert de 5 puntos · 4 metas,4,regla,0
aceq_93,Cuestionario de autoinforme · Dicotómica (Sí/No) · 3 dimensiones · Entrevista/autoinforme asistid,4,regla,0
ctq-sf_94,Cuestionario de autoinforme · 28 ítems · Likert de 5 puntos · 5 dimensiones,4,regla,0
meim_95,"Autoinforme · 12 ítems · Según el archivo fuente · Papel y lápiz o digital, autoa",4,regla,0
via_96,Cuestionario de autoinforme · 20 ítems · Likert de 9 puntos · 2 dimensiones,4,regla,0
ismi_98,Cuestionario de autoinforme · 29 ítems · Likert de 4 puntos · 5 dimensiones,4,regla,0
eod_99,Cuestionario de autoinforme · 9 ítems · Escala Likert de frecuencia · Unidimensional,4,regla,0
whodas_2.0_100,Cuestionario de autoinforme o · 36 ítems · Likert de 5 puntos · 6 dimensiones,4,regla,0
indice_de_barth_101,Escala heteroadministrada o por · 10 ítems · Puntuaciones ponderadas por ítem · Unidimensional,4,regla,0
escala_de_lawton_102,Cuestionario heteroadministrada o · 8 ítems · Escala tricotómica adaptado · Unidimensional,4,regla,0
chte_103,Cuestionario de autoinforme · 56 ítems · Dicotómica (Sí/No) · 7 dimensiones,4,regla,0
basc-3_104,Cuestionario multimétodo · Variable según versión · Likert de 4 puntos · Varias escalas adaptativas,4,regla,0
mbi_105,Cuestionario de autoinforme · 22 ítems · Likert de 7 puntos · 3 dimensiones,4,regla,0
uwes_106,Cuestionario de autoinforme · 17 ítems · Likert de 7 puntos · 3 dimensiones,4,regla,0
mos-sss_107,Cuestionario de autoinforme · 19 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
faces-iv_108,Cuestionario de autoinforme · 42 ítems · Likert de 5 puntos · 6 dimensiones,4,regla,0
apgar_109,Cuestionario de autoinforme breve · 5 ítems · Likert de 3 puntos · Unidimensional,4,regla,0
swls_110,Cuestionario de autoinforme · 5 ítems · Likert de 7 puntos · Unidimensional,4,regla,0
pwb_111,Cuestionario de autoinforme · 29 ítems · Likert de 6 puntos · 6 dimensiones,4,regla,0
fs_112,Cuestionario de autoinforme · 8 ítems · Likert de 7 puntos · Unidimensional,4,regla,0
sf-36_113,"Cuestionario de autoinforme · 36 ítems · Opciones según ítem: 5, 3, 2 y 6. · 8 dimensiones · Autoadministrada. Instrucción ",5,regla,0
whoqol-bref_114,Cuestionario de autoinforme · 26 ítems · Likert de 5 puntos · 4 dimensiones,4,regla,0
cd-risc_115,Cuestionario de autoinforme · 25 ítems · Likert de 5 puntos · 5 dimensiones,4,regla,0
lot-r_116,Cuestionario de autoinforme · 10 ítems · Likert de 5 puntos · 2 dimensiones,4,regla,0
via-is_118,Cuestionario de autoinforme · 240 ítems · Likert de 5 puntos · 24 fortalezas de carácter,4,regla,0
mmse_119,Prueba de cribado neuropsicológico · 11 ítems · Tareas verbales y de ejecución · 5 áreas cognitivas,4,regla,0
moca_120,Prueba de cribado neuropsicológico · Múltiples microtareas que totalizan 30 puntos · Tareas verbales y de ejecución · 7 áreas,4,regla,0
d2-r_121,"Prueba de ejecución · 14 líneas con 47 caracteres cada una · Cancelación visual de estímulos · Atención selectiva, Velocidad",4,regla,0
tmt_122,Prueba neuropsicológica · 2 láminas · Tarea de unión de puntos · Parte A; Parte B,4,regla,0
tavec_123,"Prueba neuropsicológica · Listas de 16 palabras categorizadas · Recuerdo libre y reconocimiento · Aprendizaje verbal, Memoria",4,regla,0
figura_de_rey_124,Prueba neuropsicológica de · 18 elementos estructurales en un solo dibujo complejo · Dibujo a mano alzada · Percepción visuoespacial y,4,regla,0
wcst_125,"Prueba neuropsicológica · 64 o 128 cartas · Emparejamiento de cartas según un · Flexibilidad cognitiva,",4,regla,0
stroop_test_126,"Prueba neuropsicológica · 100 ítems · Lectura o denominación en voz alta · Inhibición cognitiva,",4,regla,0
igt_127,Tarea · 100 elecciones de cartas · Tarea conductual donde el sujeto · Toma de decisiones bajo,4,regla,0
brief-2_128,Cuestionario de autoinforme y · 63 ítems · Likert de 3 puntos · 3 índices que forman un,4,regla,0
ifs_129,"Prueba de cribado ejecutivo breve · 8 subtests breves · Tareas conductuales cronometradas · Memoria de trabajo,",4,regla,0
bnt_130,"Prueba neuropsicológica verbal · 60 ítems · Denominación de dibujos ordenados · Expresión verbal, Acceso",4,regla,0
tfv_131,Prueba neuropsicológica · 3 ensayos de 1 minuto para letras y 1 ensayo de 1 minuto para categoría · Generación de palabras · Fluidez fonológica y Fluidez,4,regla,0
rmet_132,Prueba de · 36 ítems · Reconocimiento de estados mentales · Unidimensional,4,regla,0
maia_133,Cuestionario de autoinforme · 32 ítems · Likert de 6 puntos · 8 dimensiones,4,regla,0
faux_pas_test_134,Prueba neuropsicológica · 20 historias breves · Comprensión de textos y respuesta · Teoría de la Mente cognitiva,4,regla,0
psqi_135,Cuestionario de autoinforme · 19 ítems · Likert de 4 puntos · 7 dimensiones · 10 min,5,regla,0
isi_136,Cuestionario de autoinforme · 7 · Likert de 5 puntos · Unidimensional · 5 min,5,regla,0
ess_137,Cuestionario de autoinforme · 8 · Likert de 4 puntos · Unidimensional · 5 min,5,regla,0
bpi_138,Cuestionario de autoinforme · 15 ítems · Escalas Numéricas de 0 a 10 y · 2 dimensiones · 10 min,5,regla,0
pcs_139,Cuestionario de autoinforme · 13 · Likert de 5 puntos · 3 dimensiones · 5-10 min,5,regla,0
fss_140,Cuestionario de autoinforme · 9 ítems · Likert de 7 puntos · Unidimensional · 5 min,5,regla,0
ipaq_141,"Cuestionario de autoinforme · 7 · Preguntas abiertas sobre días por · Actividad vigorosa, moderada,",4,regla,0
mgl_o_mmas-4_142,Cuestionario de autoinforme · 4 · Dicotómica (Sí/No) · Unidimensional · 1-2 min,5,regla,0
bipq_143,Cuestionario de autoinforme · 9 ítems · Escala de 0 a 10 para ítems 1 al · 8 dimensiones · 5-10 min,5,regla,0
mac_144,Cuestionario de autoinforme · 40 · Likert de 4 puntos · 5 dimensiones,4,regla,0
hls-eu-q16_145,16 ítems · Escala de 4 opciones: 1 = Muy,2,regla,0
sahlsa-50_146,Prueba de ejecución · 50 · Opción múltiple · Reconocimiento de lectura y · 6 min · Individual mediante entrevista,6,regla,0
dex-sp_new1,Autoinforme · 20 ítems · Likert de 5 puntos · Papel y lápiz,4,regla,0
efeco_new1,Autoinforme · 67 ítems · Likert de 5 puntos · Papel y lápiz o formato digita,4,regla,0
mfe_new1,Autoinforme; también puede ser · 28 ítems · Likert de 3 puntos · Papel y lápiz,4,regla,0
cfq_new1,Autoinforme · 25 ítems · Escala de 5 puntos · Papel y lápiz,4,regla,0
prsexdq_new1,Mixto: preguntas dirigidas al · 7 ítems · Likert de 4 puntos · 10 min · Entrevista clínica estructurad,5,regla,0
sisses_new1,Autoinforme · 14 · Likert de 4 puntos · Papel y lápiz o formato electr,4,regla,0
meqsa_new1,Autoinforme · 19 · Opción múltiple · 10 min · Papel y lápiz,5,regla,0
stopbang_new1,Autoinforme · 8 · Dicótoma · Papel y lápiz o formato electr,4,regla,0
csi_new1,Autoinforme · 25 + 10 · Likert de 5 puntos · 5 min · Papel y lápiz o formato electr,5,regla,0
ftnd_new1,"Heteroadministrado · 6 · Dicotómica (Sí/No) · 3 min · Papel y lápiz, en consulta clí",5,regla,0
semcds_new1,Autoinforme · 4 · Escala numérica 1-10 · Papel y lápiz o formato electr,4,regla,0
eheals_new1,Autoinforme · 8 · Likert 5 puntos · Papel y lápiz o formato electr,4,regla,0
cremp_new1,Autoinforme del paciente · 13 · Likert de 5 puntos · Papel y lápiz,4,regla,0
bsq_new1,Autoinforme · 34 ítems · Escala de 6 puntos · Papel y lápiz,4,regla,0
mba_new1,Autoinforme · 10 ítems · Escala de acuerdo de 4 puntos: 1 = · Papel y lápiz,4,regla,0
ersq_new1,Autoinforme · 27 ítems · Escala de 5 puntos · Papel y lápiz,4,regla,0
ers_147,Autoinforme; también aplicable en · 20 ítems · Likert de 6 puntos · 5 min · Papel y lápiz o entrevista bre,5,regla,0
ip_148,Autoinforme · 60 ítems · Likert de 5 puntos · 20 min · Papel y lápiz,5,regla,0
bsl23_149,Autoinforme · 23 ítems · Likert de 5 puntos · 5 min · Papel y lápiz,5,regla,0
cubi18_150,Autoinforme · 18 ítems · Likert de 4 puntos · 5 min · Papel y lápiz,5,regla,0
egsr_151,Entrevista clínica estructurada o · 31 ítems · Likert de 4 puntos · 20 min · Entrevista o autoadministrado,5,regla,0
sias_152,Autoinforme · 20 ítems · Likert de 5 puntos · 5 min · Papel y lápiz,5,regla,0
sads_153,Autoinforme · 28 ítems · Dicotómica (Sí/No) · 10 min · Papel y lápiz,5,regla,0
pss14_155,Autoinforme · 14 ítems · Likert de 5 puntos · 5 min · Papel y lápiz,5,regla,0
cae_156,Autoinforme · 42 ítems · Escala de 5 puntos · Papel y lápiz,4,regla,0
eas_157,Autoinforme · 21 ítems · Likert de 4 puntos · Papel y lápiz,4,regla,0
erq_158,Autoinforme · 10 ítems · Likert de 7 puntos · Papel y lápiz,4,regla,0
fmps_159,Autoinforme · 35 ítems · Likert de 5 puntos · Papel y lápiz,4,regla,0
panas_161,Autoinforme · 20 ítems · Likert de 5 puntos · Papel y lápiz,4,regla,0
rs14_162,Autoinforme · 14 ítems · Likert de 7 puntos · Papel y lápiz,4,regla,0
tmms24_163,Autoinforme · 24 ítems · Likert de 5 puntos · Papel y lápiz,4,regla,0
beaq_164,Autoinforme · 15 ítems · Likert de 6 puntos · 3 min · Papel y lápiz,5,regla,0
vq_165,Autoinforme · 10 ítems · Likert de 7 puntos · Papel y lápiz o autoadministra,4,regla,0
psyflex_166,Autoinforme · 6 ítems · Escala de 5 puntos · Papel y lápiz o digital,4,regla,0
cope48_167,"Autoinforme · 48 ítems · Likert de 4 puntos · Papel y lápiz, autoadministrad",4,regla,0
ffmq-sf_168,24 ítems · Likert de 5 puntos,2,regla,0
scs_169,,1,regla,0
ras-h_170,7 ítems · Likert de 5 puntos,2,regla,0
mec_171,13 · Heteroaplicada,2,regla,0
adascog_172,21; 11 forman el ADAS cognitivo y 10 el ADAS no cognitivo · Heteroaplicada,2,regla,0
bprs_173,18 · Heteroaplicada,2,regla,0
sips_174,33 · Heteroaplicada,2,regla,0
sops_175,19 · Heteroaplicada,2,regla,0
sumd_176,9 · Heteroaplicada,2,regla,0
oas_177,4 · Heteroaplicada,2,regla,0
madrs_178,10 · Heteroaplicada,2,regla,0
gds_179,30 · Autoaplicada,2,regla,0
cds_180,9 · Heteroaplicada,2,regla,0
mdq_181,13 · Autoaplicada,2,regla,0
ymrs_182,11 · Heteroaplicada,2,regla,0
evmac_183,15 · Heteroaplicada,2,regla,0
mas_184,11 · Heteroaplicada,2,regla,0
rfl_185,48 · Autoaplicada,2,regla,0
rvplutchik_186,12 · Autoaplicada,2,regla,0
eiplutchik_187,15 · Autoaplicada,2,regla,0
spin_188,17 · Autoaplicada,2,regla,0
bsps_189,18 · Heteroaplicada,2,regla,0
bsa_190,10 · Heteroaplicada,2,regla,0
tq_191,44 · Autoaplicada,2,regla,0
dgrp_192,4 · Heteroaplicada,2,regla,0
dai_193,10 · Autoaplicada,2,regla,0
bdhi_194,75 · Autoaplicada,2,regla,0
malt_195,MALT-O: 7; MALT-S: 27 · MALT-O: heteroaplicada,2,regla,0
isca_196,3 · Heteroaplicada,2,regla,0
europasi_197,141 · Heteroaplicada,2,regla,0
sadq_198,33 · Autoaplicada,2,regla,0
eida_199,30 · Autoaplicada,2,regla,0
ocds_200,14 · Autoaplicada,2,regla,0
edi2_201,64 · Autoaplicada,2,regla,0
bite_202,33 · Autoaplicada,2,regla,0
cos_203,15 · Heteroaplicada,2,regla,0
csfq_204,36 para los varones y 34 para las mujeres · Heteroaplicada y autoaplicada,2,regla,0
iief_205,15 · Autoaplicada,2,regla,0
mghsfq_206,5 · Autoaplicada,2,regla,0
asex_207,5 · Autoaplicada,2,regla,0
bwsq_208,20 · Autoaplicada,2,regla,0
sas_209,10 · Heteroaplicada,2,regla,0
uku_210,56 · Heteroaplicada,2,regla,0
eeaggaf_211,1 · Heteroaplicada,2,regla,0
sdi_212,5 · Heteroaplicada y autoaplicada,2,regla,0
sass_213,21 · Autoaplicada,2,regla,0
qls_214,21 · Heteroaplicada,2,regla,0
cscv_215,59 · Autoaplicada,2,regla,0
qlds_216,22 · Autoaplicada,2,regla,0
adrql_217,47 · Heteroaplicada,2,regla,0
npi-n_218,40 · Autoaplicada,2,regla,0
aim-a_219,40 · Autoaplicada,2,regla,0
top-8_220,8 · Heteroaplicada,2,regla,0
