tema,ejes_asociados,total_instrumentos,sinonimos_busqueda,id_test,sigla_test,nombre_test,eje_test,constructo,tipo_instrumento,acceso
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,rs14_162,RS-14,Escala de Resiliencia de 14 items,Eje II,Resiliencia,Autoinforme,academico
Afrontamiento y resiliencia,Eje II; Eje III; Eje IV; Eje VI,9,adaptación; coping; resiliencia; tolerancia a la frustración,cope48_167,COPE-48,Versión española del COPE-48 (adaptación clínica del COPE Inventory),Eje II,"Afrontamiento (coping), 9 escalas clínicas",Autoinforme,abierto
Agitación psicomotriz e impulsividad aguda,Eje I,1,ABS; Escala de Comportamiento Agitado de Corrigan (ABS),abs_new,ABS,Escala de Comportamiento Agitado de Corrigan (ABS),Eje I,Agitación psicomotriz e impulsividad aguda,Observacional / Registro conductual,abierto
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,aq_29,AQ,Cuestionario de Agresión,Eje I,Agresividad e ira,Autoinforme,abierto
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,staxi-2_30,STAXI-2,Inventario de Expresión de Ira Estado-Rasgo 2,Eje I,Agresividad e ira,Autoinforme,comercial
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,rpq_31,RPQ,Cuestionario de Agresión Reactiva-Proactiva,Eje I,Agresividad e ira,Autoinforme,abierto
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,pcl-r_32,PCL-R,Escala de Calificación de Psicopatía Revisada,Eje III,Conducta antisocial,Heteroaplicado / Entrevista clínica,comercial
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,srp-iv_33,SRP-IV,Escala de Autoinforme de Psicopatía - Versión IV,Eje III,Conducta antisocial,Autoinforme,comercial
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,scid-5-pd_34,SCID-5-PD,SCID-5-PD (Trastorno de la Personalidad Antisocial),Eje I,Conducta antisocial,Heteroaplicado / Entrevista clínica,comercial
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,hcr-20_v3_49,HCR-20 v3,Guía de Evaluación del Riesgo de Violencia,Eje I,Riesgo de violencia,Autoinforme,comercial
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,oas_177,OAS,Overt Aggression Scale,Eje I,Agresividad manifiesta observada,Heteroaplicado / Entrevista clínica,academico
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,rvplutchik_186,RV-Plutchik,Escala de Riesgo de Violencia de Plutchik,Eje I,Riesgo de violencia autodirigida,Autoinforme,academico
"Agresividad, ira y violencia",Eje I; Eje III,10,agresión física; conducta violenta; hostilidad; rabia,bdhi_194,BDHI,Buss-Durkee Hostility Inventory,Eje I,Hostilidad/agresividad,Autoinforme,academico
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,ipaq_141,IPAQ,Cuestionario Internacional de Actividad Física,Eje VI,Conductas de salud,Autoinforme,abierto
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,mgl_o_mmas-4_142,MGL o MMAS-4,Cuestionario de Adherencia a la Medicación de Morisky-Green-Levine,Eje VI,Conductas de salud,Autoinforme,abierto
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,hls-eu-q16_145,HLS-EU-Q16,Cuestionario Europeo de Alfabetización en Salud - Versión Corta,Eje VI,Alfabetización en salud y relación con el sistema,Autoinforme,abierto
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,sahlsa-50_146,SAHLSA-50,Evaluación Breve de Alfabetización en Salud para Adultos de Habla Hispana,Eje VI,Alfabetización en salud y relación con el sistema,Autoinforme,abierto
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,semcds_new1,SEMCD-S,Spanish Chronic Disease Self-Efficacy Scale,Eje VI,Autoeficacia/autocuidado en enfermedad crónica,Autoinforme,abierto
Alfabetización y conductas de salud,Eje VI,6,adherencia terapéutica; autocuidado; conductas de salud,eheals_new1,eHEALS,eHealth Literacy Scale,Eje VI,Alfabetización digital en salud,Autoinforme,abierto
Ansiedad generalizada,Eje I,1,Carroll-TAG; Escala de Detección del TAG de Carroll y Davidson,carroll-tag_new,Carroll-TAG,Escala de Detección del TAG de Carroll y Davidson,Eje I,Ansiedad generalizada,Heteroaplicado / Entrevista clínica,abierto
Ansiedad psíquica y somática,Eje I,1,Escala de Hamilton para la Ansiedad (HAM-A); HARS,hars_new,HARS,Escala de Hamilton para la Ansiedad (HAM-A),Eje I,Ansiedad psíquica y somática,Heteroaplicado / Entrevista clínica,abierto
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,stai_0,STAI,Inventario de Ansiedad Estado-Rasgo,Eje I,Ansiedad y miedo,Autoinforme,comercial
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,bai_1,BAI,Inventario de Ansiedad de Beck,Eje I,Ansiedad y miedo,Autoinforme,comercial
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,gad-7_2,GAD-7,Escala de Trastorno de Ansiedad Generalizada - 7,Eje I,Ansiedad y miedo,Autoinforme,abierto
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,isra_3,ISRA,Inventario de Situaciones y Respuestas de Ansiedad,Eje I,Ansiedad y miedo,Autoinforme,comercial
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,hads_4,HADS,Escala de Ansiedad y Depresión Hospitalaria,Eje I,Ansiedad y miedo,Autoinforme,comercial
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,pswq_52,PSWQ,Cuestionario de Preocupación del Estado de Pensilvania,Eje II,Preocupación crónica,Autoinforme,abierto
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,ius-12_53,IUS-12,Escala de Intolerancia a la Incertidumbre,Eje II,Intolerancia a la incertidumbre,Autoinforme,abierto
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,csi_new1,CSI,Inventario de Sensibilización Central,Eje VI,Sensibilización central y carga de síntomas,Autoinforme,abierto
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,sias_152,SIAS,Escala de Ansiedad ante la Interaccion Social,Eje I,Ansiedad ante la interaccion social directa,Autoinforme,academico
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,sads_153,SADS,Escala de Estres y Evitacion Social (Social Avoidance and Distress Scale),Eje I,Malestar subjetivo y evitacion conductual en situaciones sociales,Autoinforme,academico
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,spin_188,SPIN,Social Phobia Inventory,Eje I,Fobia social,Autoinforme,academico
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,bsps_189,BSPS,Brief Social Phobia Scale (Davidson),Eje I,Fobia social (heteroaplicada),Autoinforme,academico
Ansiedad y fobia,Eje I; Eje II; Eje VI,13,TAG; agorafobia; crisis de angustia; fobia social; pánico,bsa_190,BSA,Brief Scale for Anxiety (Tyrer),Eje I,Ansiedad general (heteroaplicada),Autoinforme,academico
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,ecr-r_69,ECR-R,Experiencias en Relaciones Cercanas - Revisado,Eje II,Apego,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,idi_70,IDI,Inventario de Dependencia Interpersonal,Eje II,Dependencia interpersonal,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,rsq_71,RSQ,Cuestionario de Sensibilidad al Rechazo,Eje II,Sensibilidad al rechazo,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,iip-32_72,IIP-32,Inventario de Problemas Interpersonales (Versión Breve),Eje II,Comunicación interpersonal y Asertividad,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,ras_73,RAS,Escala de Asertividad de Rathus,Eje II,Comunicación interpersonal y Asertividad,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,cremp_new1,CREM-P,Cuestionario de Relaciones Médico-Paciente (adaptación española del PDRQ),Eje VI,Relación paciente-profesional,Autoinforme,abierto
Apego y relaciones interpersonales,Eje II; Eje IV; Eje VI,7,apego ansioso; apego evitativo; asertividad; dependencia emocional,ras-h_170,RAS-H,Escala de Valoración de la Relación (Relationship Assessment Scale - Hendrick),Eje IV,Satisfacción diádica y calidad de la relación de pareja,Autoinforme,academico
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,ucla-r_74,UCLA-R,Escala de Soledad de UCLA Revisada,Eje II,Soledad y aislamiento social,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,djgls_75,DJGLS,Escala de Soledad de De Jong Gierveld,Eje II,Soledad y aislamiento social,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,ismi_98,ISMI,Escala de Estigma Internalizado de la Enfermedad Mental,Eje III,Estigma y discriminación,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,eod_99,EOD,Escala de Experiencias de Discriminación,Eje III,Estigma y discriminación,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,mos-sss_107,MOS-SSS,Cuestionario de Apoyo Social del Medical Outcomes Study,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,faces-iv_108,FACES-IV,Escala de Cohesión y Adaptabilidad Familiar,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,apgar_109,APGAR,APGAR Familiar,Eje IV,Apoyo social y Funcionamiento familiar,Autoinforme,abierto
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,eas_157,EAS,Escala de Apoyo Social,Eje II,Apoyo social percibido (familiar y de amistades),Autoinforme,academico
Apoyo social y familia,Eje II; Eje III; Eje IV,9,dinámica de pareja; funcionamiento familiar; red de apoyo,sass_213,SASS,Social Adaptation Self-evaluation Scale,Eje IV,Adaptación social,Autoinforme,academico
Atención y concentración,Eje V,2,atención dividida; atención sostenida; concentración; vigilancia,d2-r_121,d2-R,Test de Atención d2-R,Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",Rendimiento neurocognitivo / Tarea de ejecución,comercial
Atención y concentración,Eje V,2,atención dividida; atención sostenida; concentración; vigilancia,tmt_122,TMT,Test del Trazo (Trail Making Test),Eje V,"Atención (Sostenida, Selectiva, Dividida y Vigilancia)",Rendimiento neurocognitivo / Tarea de ejecución,abierto
Autoconcepto y autoeficacia creativa,Eje III,1,CREA-24; Escala de Autopercepción de Creatividad (CREA-24),crea-24_new,CREA-24,Escala de Autopercepción de Creatividad (CREA-24),Eje III,Autoconcepto y autoeficacia creativa,Autoinforme,abierto
Autoestima y autoconcepto,Eje III,3,autoeficacia; autoimagen; valía personal,rses_84,RSES,Escala de Autoestima de Rosenberg,Eje III,Autoestima,Autoinforme,abierto
Autoestima y autoconcepto,Eje III,3,autoeficacia; autoimagen; valía personal,af-5_85,AF-5,Autoconcepto Forma 5,Eje III,Autoconcepto,Autoinforme,comercial
Autoestima y autoconcepto,Eje III,3,autoeficacia; autoimagen; valía personal,gse_86,GSE,Escala de Autoeficacia General,Eje III,Autoeficacia,Autoinforme,abierto
Autonomía funcional y dependencia biológica,Eje IV,1,KATZ; Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),katz_new,KATZ,Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),Eje IV,Autonomía funcional y dependencia biológica,Observacional / Registro conductual,abierto
Bienestar social y ajuste comunitario,Eje IV,1,Escala de Bienestar Social de Keyes; SWBS,swbs_new,SWBS,Escala de Bienestar Social de Keyes,Eje IV,Bienestar social y ajuste comunitario,Autoinforme,abierto
Bienestar y satisfacción vital,Eje III; Eje IV,4,afecto positivo; felicidad; florecimiento; satisfacción vital,mlq_90,MLQ,Cuestionario de Significado de la Vida,Eje III,Sentido de vida y Propósito vital,Autoinforme,abierto
Bienestar y satisfacción vital,Eje III; Eje IV,4,afecto positivo; felicidad; florecimiento; satisfacción vital,swls_110,SWLS,Escala de Satisfacción con la Vida,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Bienestar y satisfacción vital,Eje III; Eje IV,4,afecto positivo; felicidad; florecimiento; satisfacción vital,pwb_111,PWB,Escalas de Bienestar Psicológico,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Bienestar y satisfacción vital,Eje III; Eje IV,4,afecto positivo; felicidad; florecimiento; satisfacción vital,fs_112,FS,Escala de Florecimiento,Eje IV,"Bienestar subjetivo, Bienestar psicológico y Florecimiento",Autoinforme,abierto
Bipolaridad y manía,Eje I,4,Bipolar disorder; Ciclotimia; Manic episode; Manía; Psicosis bipolar; Psicosis maníca,mdq_181,MDQ,Mood Disorder Questionnaire,Eje I,Cribado de espectro bipolar,Autoinforme,academico
Bipolaridad y manía,Eje I,4,Bipolar disorder; Ciclotimia; Manic episode; Manía; Psicosis bipolar; Psicosis maníca,ymrs_182,YMRS,Young Mania Rating Scale,Eje I,Severidad de manía,Heteroaplicado / Entrevista clínica,academico
Bipolaridad y manía,Eje I,4,Bipolar disorder; Ciclotimia; Manic episode; Manía; Psicosis bipolar; Psicosis maníca,evmac_183,EVMAC,Escala para la Valoración de la Manía por Clínicos,Eje I,Severidad de manía (heteroaplicada),Heteroaplicado / Entrevista clínica,academico
Bipolaridad y manía,Eje I,4,Bipolar disorder; Ciclotimia; Manic episode; Manía; Psicosis bipolar; Psicosis maníca,mas_184,MAS,Escala de Manía de Bech-Rafaelsen,Eje I,Severidad de manía,Heteroaplicado / Entrevista clínica,academico
Calidad de descanso e insomnio agudo,Eje VI,1,Escala Groningen de la Calidad del Sueño (GSQS); GSQS,gsqs_new,GSQS,Escala Groningen de la Calidad del Sueño (GSQS),Eje VI,Calidad de descanso e insomnio agudo,Autoinforme,abierto
Calidad de vida,Eje IV,4,Bienestar; Calidad de vida; QoL; Quality of life; Salud física; Salud mental; Vida diaria,sf-36_113,SF-36,Cuestionario de Salud SF-36,Eje IV,Calidad de vida,Autoinforme,abierto
Calidad de vida,Eje IV,4,Bienestar; Calidad de vida; QoL; Quality of life; Salud física; Salud mental; Vida diaria,whoqol-bref_114,WHOQOL-BREF,Cuestionario de Calidad de Vida de la OMS - Versión Breve,Eje IV,Calidad de vida,Autoinforme,abierto
Calidad de vida,Eje IV,4,Bienestar; Calidad de vida; QoL; Quality of life; Salud física; Salud mental; Vida diaria,qls_214,QLS,Quality of Life Scale (Heinrichs),Eje IV,Calidad de vida en esquizofrenia,Heteroaplicado / Entrevista clínica,academico
Calidad de vida,Eje IV,4,Bienestar; Calidad de vida; QoL; Quality of life; Salud física; Salud mental; Vida diaria,cscv_215,CSCV,Cuestionario Sevilla de Calidad de Vida,Eje IV,Calidad de vida,Autoinforme,academico
Calidad de vida relacionada con la salud,Eje IV,1,Cuestionario de Salud EuroQoL-5D; EQ-5D,eq-5d_new,EQ-5D,Cuestionario de Salud EuroQoL-5D,Eje IV,Calidad de vida relacionada con la salud,Autoinforme,comercial
Calidad de vida y satisfacción vital,Eje IV,1,Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott; Q-LES-Q,q-les-q_new,Q-LES-Q,Cuestionario de Calidad de Vida: Satisfacción y Placer de Endicott,Eje IV,Calidad de vida y satisfacción vital,Autoinforme,abierto
Cognición social,Eje II; Eje V,3,Atención social; Cognición social; Comunicación social; Interacción social; Procesamiento social; Social cognition,rmet_132,RMET,Test de Leer la Mente en los Ojos,Eje V,Cognición Social e Interocepción,Heteroaplicado / Entrevista clínica,abierto
Cognición social,Eje II; Eje V,3,Atención social; Cognición social; Comunicación social; Interacción social; Procesamiento social; Social cognition,maia_133,MAIA,Evaluación Multidimensional de la Conciencia Interoceptiva,Eje II,Cognición Social e Interocepción,Autoinforme,abierto
Cognición social,Eje II; Eje V,3,Atención social; Cognición social; Comunicación social; Interacción social; Procesamiento social; Social cognition,faux_pas_test_134,Faux Pas Test,Test de Meteduras de Pata,Eje V,Cognición Social e Interocepción,Heteroaplicado / Entrevista clínica,abierto
Conducta alimentaria e imagen corporal,Eje I,4,Anorexia; Autoimagen; Bulimia; Conducta alimentaria; Conducta alimentaria patológica; Disortodinia; Eating behavior; Imagen corporal,bsq_new1,BSQ,Body Shape Questionnaire (Cuestionario sobre la Forma Corporal),Eje I,Insatisfacción con la forma y figura corporal,Autoinforme,abierto
Conducta alimentaria e imagen corporal,Eje I,4,Anorexia; Autoimagen; Bulimia; Conducta alimentaria; Conducta alimentaria patológica; Disortodinia; Eating behavior; Imagen corporal,mba_new1,MBA,Measure of Body Apperception (Medida de Percepción del Cuerpo),Eje I,Dependencia de la autoestima respecto a la apariencia/integridad corporal,Autoinforme,abierto
Conducta alimentaria e imagen corporal,Eje I,4,Anorexia; Autoimagen; Bulimia; Conducta alimentaria; Conducta alimentaria patológica; Disortodinia; Eating behavior; Imagen corporal,edi2_201,EDI-2,Inventario de Trastornos de la Conducta Alimentaria-2,Eje I,Conducta alimentaria,Autoinforme,academico
Conducta alimentaria e imagen corporal,Eje I,4,Anorexia; Autoimagen; Bulimia; Conducta alimentaria; Conducta alimentaria patológica; Disortodinia; Eating behavior; Imagen corporal,bite_202,BITE,Bulimic Investigatory Test Edinburgh,Eje I,Síntomas bulímicos,Autoinforme,academico
Consumo de alcohol y adicciones,Eje I,1,CAGE; Cuestionario CAGE para Detección de Alcoholismo,cage_new,CAGE,Cuestionario CAGE para Detección de Alcoholismo,Eje I,Consumo de alcohol y adicciones,Autoinforme,abierto
Cribado cognitivo y demencias,Eje IV; Eje V,5,Alzheimer; Cognitive screening; Cribado cognitivo; Demencia; Deterioro cognitivo; Enfermedad de Alzheimer; Evaluación cognitiva; Prueba cognitiva,mmse_119,MMSE,Mini-Examen del Estado Cognitivo,Eje V,Cribado Cognitivo Global (Estado Mental),Heteroaplicado / Entrevista clínica,comercial
Cribado cognitivo y demencias,Eje IV; Eje V,5,Alzheimer; Cognitive screening; Cribado cognitivo; Demencia; Deterioro cognitivo; Enfermedad de Alzheimer; Evaluación cognitiva; Prueba cognitiva,moca_120,MoCA,Evaluación Cognitiva de Montreal,Eje V,Cribado Cognitivo Global (Estado Mental),Rendimiento neurocognitivo / Tarea de ejecución,academico
Cribado cognitivo y demencias,Eje IV; Eje V,5,Alzheimer; Cognitive screening; Cribado cognitivo; Demencia; Deterioro cognitivo; Enfermedad de Alzheimer; Evaluación cognitiva; Prueba cognitiva,mec_171,MEC,Mini-Examen Cognoscitivo de Lobo,Eje V,Cribado cognitivo global,Heteroaplicado / Entrevista clínica,academico
Cribado cognitivo y demencias,Eje IV; Eje V,5,Alzheimer; Cognitive screening; Cribado cognitivo; Demencia; Deterioro cognitivo; Enfermedad de Alzheimer; Evaluación cognitiva; Prueba cognitiva,adascog_172,ADAS-Cog,Alzheimer's Disease Assessment Scale - Cognitiva,Eje V,Deterioro cognitivo en demencia,Rendimiento neurocognitivo / Tarea de ejecución,academico
Cribado cognitivo y demencias,Eje IV; Eje V,5,Alzheimer; Cognitive screening; Cribado cognitivo; Demencia; Deterioro cognitivo; Enfermedad de Alzheimer; Evaluación cognitiva; Prueba cognitiva,adrql_217,ADRQL,Alzheimer's Disease Related Quality of Life,Eje IV,Calidad de vida en demencia,Observacional / Registro conductual,academico
Cribado multitrastorno de ansiedad,Eje I,1,ASQ-15; Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),asq-15_new,ASQ-15,Cuestionario de Screening de Ansiedad de Wittchen (ASQ-15),Eje I,Cribado multitrastorno de ansiedad,Autoinforme,abierto
Crisis de angustia y pánico,Eje I,1,Diario-Panico; Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),diario-panico_new,Diario-Panico,Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),Eje I,Crisis de angustia y pánico,Observacional / Registro conductual,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,dass-21_5,DASS-21,"Escalas de Depresión, Ansiedad y Estrés - 21",Eje I,"Depresión, ansiedad y estrés",Autoinforme,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,bdi-ii_13,BDI-II,Inventario de Depresión de Beck - II,Eje I,Depresión y anhedonia,Autoinforme,comercial
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,phq-9_14,PHQ-9,Cuestionario de Salud del Paciente - 9,Eje I,Depresión y anhedonia,Autoinforme,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,ces-d_15,CES-D,Escala del Centro de Estudios Epidemiológicos de la Depresión,Eje I,Depresión y anhedonia,Autoinforme,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,shaps_16,SHAPS,Escala de Placer de Snaith-Hamilton,Eje I,Depresión y anhedonia,Autoinforme,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,hdrs_17,HDRS / HAM-D,Escala de Calificación de la Depresión de Hamilton,Eje I,Depresión y anhedonia,Heteroaplicado / Entrevista clínica,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,bads_64,BADS,Escala de Activación Conductual para la Depresión,Eje II,Activación y Evitación conductual,Autoinforme,abierto
Depresión y estado de ánimo,Eje I; Eje II; Eje IV,13,Escala de Autoevaluación de la Depresión de Zung y Conde (SDS); SDS; TAG; afecto negativo; agorafobia; anhedonia; crisis de angustia; depresión mayor; distimia; estrés; estrés crónico; estrés percibido; fobia social; pánico; sobrecarga; tensión; ánimo bajo,eros_65,EROS,Escala de Observación de Recompensas Ambientales,Eje II,Activación y Evitación conductual,Autoinforme,abierto
